county,poke_ratio
Beaverhead County,1.6155832500000002
Big Horn County,1.6692214569536425
Blaine County,1.63745
Broadwater County,1.5480243137254903
Carbon County,1.607144823529412
Cascade County,1.6109565882838288
Custer County,1.63745
Dawson County,1.647313126614987
Deer Lodge County,1.6085334755134282
Fergus County,1.642510666666667
Flathead County,1.662357088578622
Gallatin County,1.541412170212766
Glacier County,2.2933231506849316
Granite County,1.80505
Hill County,1.7210617894736844
Jefferson County,1.605340775862069
Lake County,1.6217120380047507
Lewis and Clark County,1.596767349528644
Lincoln County,1.5954160984393762
Madison County,1.60255125
Mineral County,1.5881862582781456
Missoula County,1.608277489601627
Musselshell County,1.7298198058252428
Park County,1.5586966141732284
Phillips County,1.6374499999999999
Pondera County,1.5944161369863015
Powell County,1.584483253588517
Ravalli County,1.6190742363381596
Roosevelt County,1.7551778709677424
Rosebud County,1.63745
Sanders County,1.6986830696474633
Sheridan County,1.6048886538461538
Silver Bow County,1.5570206482010283
Stillwater County,1.60264
Teton County,1.63745
Toole County,1.5903133333333335
Wheatland County,1.60264
Yellowstone County,1.6086976494201606
