county,poke_ratio
Adams County,1.8617783172147
Allen County,1.8448181177010556
Ashland County,1.7688408122866892
Ashtabula County,1.704162286474377
Athens County,1.7559408003617454
Auglaize County,1.8800487640918575
Belmont County,1.7295153391537943
Brown County,1.8581302369816026
Butler County,1.7995848422926584
Carroll County,1.59299839811543
Champaign County,1.780219909154437
Clark County,1.719650595796645
Clermont County,1.8577210048499546
Clinton County,1.7374030470563409
Columbiana County,1.6209803396918563
Coshocton County,1.6782697151162789
Crawford County,1.7096643766423356
Cuyahoga County,1.761504779833923
Darke County,1.7116347571862167
Defiance County,1.3746291501191423
Delaware County,1.703285605168155
Erie County,1.7230749731389101
Fairfield County,1.7064901067402254
Fayette County,1.8326164982578392
Franklin County,1.7670720441220018
Fulton County,1.5521746332288404
Gallia County,1.8115738938919341
Geauga County,1.6614609810282122
Greene County,1.7422899670463499
Guernsey County,1.6269413061588813
Hamilton County,1.8567695658817187
Hancock County,1.96627077181483
Hardin County,1.7368785396463207
Harrison County,2.0066993700787403
Henry County,1.6738448680351905
Highland County,1.832250287305775
Hocking County,1.6593553139770425
Holmes County,1.5864662983425415
Huron County,1.7270127961645532
Jackson County,1.85323890625
Jefferson County,2.011556875
Knox County,1.7372660049782205
Lake County,1.715791061121669
Lawrence County,1.7170575553698288
Licking County,1.7529841984801882
Logan County,1.775939444246527
Lorain County,1.8358907165168008
Lucas County,1.4801742196169339
Madison County,1.7219562229617305
Mahoning County,1.689102354200605
Marion County,1.7207541702215494
Medina County,1.768134231198117
Meigs County,1.6909565634674923
Mercer County,1.7244117128175853
Miami County,1.7465646133866133
Monroe County,1.558611142857143
Montgomery County,1.763856589829645
Morgan County,1.678950129496403
Morrow County,1.7057462585616439
Muskingum County,1.7285951493473894
Noble County,1.611373935483871
Ottawa County,1.544628574305276
Paulding County,1.3715373913043478
Perry County,1.7475495196506547
Pickaway County,1.7926934045472362
Pike County,1.6925833357142857
Portage County,1.7039672611147976
Preble County,1.784141891802191
Putnam County,1.8045762682926825
Richland County,1.7396510299844237
Ross County,1.7067753384194055
Sandusky County,1.635515023345235
Scioto County,1.8023847677933498
Seneca County,1.6943154226020893
Shelby County,1.7802204963617465
Stark County,1.7391093309665482
Summit County,1.7848153863810252
Trumbull County,1.7181704652634913
Tuscarawas County,1.817617147775424
Union County,1.7600659881422924
Van Wert County,1.744850099206349
Vinton County,1.5948860899182562
Warren County,1.7808009130064875
Washington County,1.7015736881188117
Wayne County,1.8064566337926034
Williams County,1.534379861563518
Wood County,1.5683878871300756
Wyandot County,1.8725214347826085
