migrant_housing,county
0,Aleutians East Borough,
20,Aleutians West Census Area,
18,Anchorage Municipality,
14,Bethel Census Area,
12,Bristol Bay Borough,
34,Denali Borough,
8,Dillingham Census Area,
9,Fairbanks North Star Borough,
1,Haines Borough,
18,Hoonah-Angoon Census Area,
13,Juneau City and Borough,
10,Kenai Peninsula Borough,
29,Ketchikan Gateway Borough,
14,Kodiak Island Borough,
0,Lake and Peninsula Borough,
7,Matanuska-Susitna Borough,
3,Nome Census Area,
11,North Slope Borough,
6,Northwest Arctic Borough,
1,Petersburg Census Area,
5,Prince of Wales-Hyder Census Area,
5,Sitka City and Borough,
98,Skagway Municipality,
0,Southeast Fairbanks Census Area,
21,Valdez-Cordova Census Area, 02,
1,Wade Hampton Census Area,
0,Wrangell City and Borough,
0,Yakutat City and Borough,
4,Yukon-Koyukuk Census Area,
