migrant_housing,county,
6,Adams County, 08, 001
9,Alamosa County, 08, 003
8,Arapahoe County, 08, 005
1,Archuleta County, 08, 007
1,Baca County, 08, 009
2,Bent County, 08, 011
10,Boulder County, 08, 013
0,Broomfield County, 08, 014
2,Chaffee County, 08, 015
0,Cheyenne County, 08, 017
1,Clear Creek County, 08, 019
2,Conejos County, 08, 021
2,Costilla County, 08, 023
0,Crowley County, 08, 025
0,Custer County, 08, 027
26,Delta County, 08, 029
2,Denver County, 08, 031
0,Dolores County, 08, 033
0,Douglas County, 08, 035
45,Eagle County, 08, 037
0,Elbert County, 08, 039
43,El Paso County, 08, 041
2,Fremont County, 08, 043
9,Garfield County, 08, 045
0,Gilpin County, 08, 047
9,Grand County, 08, 049
2,Gunnison County, 08, 051
1,Hinsdale County, 08, 053
1,Huerfano County, 08, 055
0,Jackson County, 08, 057
1,Jefferson County, 08, 059
5,Kiowa County, 08, 061
7,Kit Carson County, 08, 063
2,Lake County, 08, 065
3,La Plata County, 08, 067
17,Larimer County, 08, 069
1,Las Animas County, 08, 071
5,Lincoln County, 08, 073
1,Logan County, 08, 075
12,Mesa County, 08, 077
1,Mineral County, 08, 079
4,Moffat County, 08, 081
5,Montezuma County, 08, 083
4,Montrose County, 08, 085
8,Morgan County, 08, 087
17,Otero County, 08, 089
2,Ouray County, 08, 091
2,Park County, 08, 093
0,Phillips County, 08, 095
11,Pitkin County, 08, 097
58,Prowers County, 08, 099
17,Pueblo County, 08, 101
16,Rio Blanco County, 08, 103
7,Rio Grande County, 08, 105
59,Routt County, 08, 107
8,Saguache County, 08, 109
0,San Juan County, 08, 111
3,San Miguel County, 08, 113
2,Sedgwick County, 08, 115
1,Summit County, 08, 117
5,Teller County, 08, 119
2,Washington County, 08, 121
53,Weld County, 08, 123
1,Yuma County, 08, 125
