migrant_housing,county,
10,Alachua County, 12, 001
0,Baker County, 12, 003
7,Bay County, 12, 005
3,Bradford County, 12, 007
10,Brevard County, 12, 009
28,Broward County, 12, 011
0,Calhoun County, 12, 013
8,Charlotte County, 12, 015
16,Citrus County, 12, 017
1,Clay County, 12, 019
140,Collier County, 12, 021
2,Columbia County, 12, 023
56,DeSoto County, 12, 027
3,Dixie County, 12, 029
10,Duval County, 12, 031
13,Escambia County, 12, 033
9,Flagler County, 12, 035
1,Franklin County, 12, 037
28,Gadsden County, 12, 039
3,Gilchrist County, 12, 041
23,Glades County, 12, 043
0,Gulf County, 12, 045
7,Hamilton County, 12, 047
66,Hardee County, 12, 049
77,Hendry County, 12, 051
4,Hernando County, 12, 053
91,Highlands County, 12, 055
194,Hillsborough County, 12, 057
3,Holmes County, 12, 059
19,Indian River County, 12, 061
10,Jackson County, 12, 063
2,Jefferson County, 12, 065
6,Lafayette County, 12, 067
23,Lake County, 12, 069
49,Lee County, 12, 071
65,Leon County, 12, 073
5,Levy County, 12, 075
0,Liberty County, 12, 077
2,Madison County, 12, 079
80,Manatee County, 12, 081
11,Marion County, 12, 083
24,Martin County, 12, 085
41,Miami-Dade County, 12, 086
18,Monroe County, 12, 087
2,Nassau County, 12, 089
7,Okaloosa County, 12, 091
29,Okeechobee County, 12, 093
24,Orange County, 12, 095
13,Osceola County, 12, 097
101,Palm Beach County, 12, 099
38,Pasco County, 12, 101
5,Pinellas County, 12, 103
72,Polk County, 12, 105
8,Putnam County, 12, 107
5,St. Johns County, 12, 109
2,St. Lucie County, 12, 111
3,Santa Rosa County, 12, 113
7,Sarasota County, 12, 115
5,Seminole County, 12, 117
4,Sumter County, 12, 119
24,Suwannee County, 12, 121
1,Taylor County, 12, 123
1,Union County, 12, 125
16,Volusia County, 12, 127
0,Wakulla County, 12, 129
6,Walton County, 12, 131
0,Washington County, 12, 133
