migrant_housing,county,
7,Appling County,13,001
4,Atkinson County,13,003
46,Bacon County,13,005
3,Baker County,13,007
14,Baldwin County,13,009
0,Banks County,13,011
0,Barrow County,13,013
3,Bartow County,13,015
0,Ben Hill County,13,017
4,Berrien County,13,019
16,Bibb County,13,021
0,Bleckley County,13,023
3,Brantley County,13,025
28,Brooks County,13,027
0,Bryan County,13,029
4,Bulloch County,13,031
4,Burke County,13,033
1,Butts County,13,035
1,Calhoun County,13,037
0,Camden County,13,039
10,Candler County,13,043
1,Carroll County,13,045
1,Catoosa County,13,047
5,Charlton County,13,049
7,Chatham County,13,051
0,Chattahoochee County,13,053
0,Chattooga County,13,055
2,Cherokee County,13,057
7,Clarke County,13,059
1,Clay County,13,061
0,Clayton County,13,063
47,Clinch County,13,065
10,Cobb County,13,067
9,Coffee County,13,069
29,Colquitt County,13,071
3,Columbia County,13,073
4,Cook County,13,075
0,Coweta County,13,077
12,Crawford County,13,079
9,Crisp County,13,081
0,Dade County,13,083
0,Dawson County,13,085
122,Decatur County,13,087
5,DeKalb County,13,089
5,Dodge County,13,091
2,Dooly County,13,093
6,Dougherty County,13,095
2,Douglas County,13,097
3,Early County,13,099
34,Echols County,13,101
0,Effingham County,13,103
0,Elbert County,13,105
0,Emanuel County,13,107
3,Evans County,13,109
0,Fannin County,13,111
0,Fayette County,13,113
1,Floyd County,13,115
0,Forsyth County,13,117
1,Franklin County,13,119
30,Fulton County,13,121
3,Gilmer County,13,123
0,Glascock County,13,125
0,Glynn County,13,127
4,Gordon County,13,129
6,Grady County,13,131
1,Greene County,13,133
1,Gwinnett County,13,135
3,Habersham County,13,137
3,Hall County,13,139
0,Hancock County,13,141
0,Haralson County,13,143
0,Harris County,13,145
2,Hart County,13,147
1,Heard County,13,149
1,Henry County,13,151
1,Houston County,13,153
0,Irwin County,13,155
2,Jackson County,13,157
2,Jasper County,13,159
0,Jeff Davis County,13,161
1,Jefferson County,13,163
0,Jenkins County,13,165
0,Johnson County,13,167
1,Jones County,13,169
1,Lamar County,13,171
0,Lanier County,13,173
0,Laurens County,13,175
4,Lee County,13,177
1,Liberty County,13,179
1,Lincoln County,13,181
23,Long County,13,183
2,Lowndes County,13,185
1,Lumpkin County,13,187
0,McDuffie County,13,189
0,McIntosh County,13,191
4,Macon County,13,193
1,Madison County,13,195
0,Marion County,13,197
1,Meriwether County,13,199
2,Miller County,13,201
7,Mitchell County,13,205
0,Monroe County,13,207
7,Montgomery County,13,209
1,Morgan County,13,211
0,Murray County,13,213
4,Muscogee County,13,215
0,Newton County,13,217
2,Oconee County,13,219
0,Oglethorpe County,13,221
0,Paulding County,13,223
3,Peach County,13,225
0,Pickens County,13,227
5,Pierce County,13,229
2,Pike County,13,231
0,Polk County,13,233
2,Pulaski County,13,235
1,Putnam County,13,237
0,Quitman County,13,239
11,Rabun County,13,241
0,Randolph County,13,243
4,Richmond County,13,245
0,Rockdale County,13,247
0,Schley County,13,249
1,Screven County,13,251
0,Seminole County,13,253
0,Spalding County,13,255
0,Stephens County,13,257
0,Stewart County,13,259
3,Sumter County,13,261
0,Talbot County,13,263
1,Taliaferro County,13,265
86,Tattnall County,13,267
8,Taylor County,13,269
11,Telfair County,13,271
2,Terrell County,13,273
4,Thomas County,13,275
4,Tift County,13,277
47,Toombs County,13,279
0,Towns County,13,281
4,Treutlen County,13,283
0,Troup County,13,285
12,Turner County,13,287
0,Twiggs County,13,289
1,Union County,13,291
1,Upson County,13,293
1,Walker County,13,295
4,Walton County,13,297
8,Ware County,13,299
0,Warren County,13,301
0,Washington County,13,303
6,Wayne County,13,305
0,Webster County,13,307
0,Wheeler County,13,309
5,White County,13,311
6,Whitfield County,13,313
2,Wilcox County,13,315
4,Wilkes County,13,317
1,Wilkinson County,13,319
1,Worth County,13,321
