migrant_housing,county,
0,Adams County,18,001
17,Allen County,18,003
0,Bartholomew County,18,005
2,Benton County,18,007
0,Blackford County,18,009
0,Boone County,18,011
0,Brown County,18,013
0,Carroll County,18,015
7,Cass County,18,017
2,Clark County,18,019
0,Clay County,18,021
3,Clinton County,18,023
2,Crawford County,18,025
5,Daviess County,18,027
1,Dearborn County,18,029
0,Decatur County,18,031
4,DeKalb County,18,033
0,Delaware County,18,035
0,Dubois County,18,037
2,Elkhart County,18,039
1,Fayette County,18,041
0,Floyd County,18,043
4,Fountain County,18,045
0,Franklin County,18,047
0,Fulton County,18,049
7,Gibson County,18,051
5,Grant County,18,053
0,Greene County,18,055
3,Hamilton County,18,057
0,Hancock County,18,059
0,Harrison County,18,061
0,Hendricks County,18,063
0,Henry County,18,065
0,Howard County,18,067
2,Huntington County,18,069
0,Jackson County,18,071
2,Jasper County,18,073
1,Jay County,18,075
3,Jefferson County,18,077
0,Jennings County,18,079
1,Johnson County,18,081
9,Knox County,18,083
1,Kosciusko County,18,085
17,LaGrange County,18,087
23,Lake County,18,089
2,LaPorte County,18,091
2,Lawrence County,18,093
7,Madison County,18,095
7,Marion County,18,097
2,Marshall County,18,099
0,Martin County,18,101
0,Miami County,18,103
7,Monroe County,18,105
0,Montgomery County,18,107
1,Morgan County,18,109
0,Newton County,18,111
1,Noble County,18,113
0,Ohio County,18,115
0,Orange County,18,117
0,Owen County,18,119
0,Parke County,18,121
1,Perry County,18,123
1,Pike County,18,125
3,Porter County,18,127
4,Posey County,18,129
6,Pulaski County,18,131
0,Putnam County,18,133
2,Randolph County,18,135
0,Ripley County,18,137
0,Rush County,18,139
2,St. Joseph County,18,141
1,Scott County,18,143
0,Shelby County,18,145
0,Spencer County,18,147
5,Starke County,18,149
1,Steuben County,18,151
4,Sullivan County,18,153
1,Switzerland County,18,155
4,Tippecanoe County,18,157
0,Tipton County,18,159
0,Union County,18,161
0,Vanderburgh County,18,163
0,Vermillion County,18,165
10,Vigo County,18,167
0,Wabash County,18,169
0,Warren County,18,171
0,Warrick County,18,173
0,Washington County,18,175
0,Wayne County,18,177
0,Wells County,18,179
2,White County,18,181
0,Whitley County,18,183
