migrant_housing,county,
1,Allen County,20,001
0,Anderson County,20,003
0,Atchison County,20,005
0,Barber County,20,007
0,Barton County,20,009
0,Bourbon County,20,011
1,Brown County,20,013
0,Butler County,20,015
0,Chase County,20,017
1,Chautauqua County,20,019
0,Cherokee County,20,021
0,Cheyenne County,20,023
0,Clark County,20,025
0,Clay County,20,027
1,Cloud County,20,029
0,Coffey County,20,031
0,Comanche County,20,033
1,Cowley County,20,035
0,Crawford County,20,037
7,Decatur County,20,039
0,Dickinson County,20,041
0,Doniphan County,20,043
4,Douglas County,20,045
2,Edwards County,20,047
0,Elk County,20,049
5,Ellis County,20,051
0,Ellsworth County,20,053
0,Finney County,20,055
2,Ford County,20,057
3,Franklin County,20,059
0,Geary County,20,061
0,Gove County,20,063
0,Graham County,20,065
6,Grant County,20,067
1,Gray County,20,069
1,Greeley County,20,071
0,Greenwood County,20,073
1,Hamilton County,20,075
1,Harper County,20,077
0,Harvey County,20,079
2,Haskell County,20,081
0,Hodgeman County,20,083
0,Jackson County,20,085
0,Jefferson County,20,087
0,Jewell County,20,089
4,Johnson County,20,091
0,Kearny County,20,093
0,Kingman County,20,095
4,Kiowa County,20,097
2,Labette County,20,099
0,Lane County,20,101
1,Leavenworth County,20,103
0,Lincoln County,20,105
0,Linn County,20,107
0,Logan County,20,109
1,Lyon County,20,111
2,McPherson County,20,113
0,Marion County,20,115
2,Marshall County,20,117
0,Meade County,20,119
0,Miami County,20,121
1,Mitchell County,20,123
1,Montgomery County,20,125
0,Morris County,20,127
0,Morton County,20,129
0,Nemaha County,20,131
1,Neosho County,20,133
0,Ness County,20,135
2,Norton County,20,137
0,Osage County,20,139
1,Osborne County,20,141
0,Ottawa County,20,143
4,Pawnee County,20,145
0,Phillips County,20,147
3,Pottawatomie County,20,149
3,Pratt County,20,151
0,Rawlins County,20,153
2,Reno County,20,155
0,Republic County,20,157
1,Rice County,20,159
5,Riley County,20,161
0,Rooks County,20,163
0,Rush County,20,165
2,Russell County,20,167
10,Saline County,20,169
1,Scott County,20,171
16,Sedgwick County,20,173
2,Seward County,20,175
1,Shawnee County,20,177
0,Sheridan County,20,179
0,Sherman County,20,181
0,Smith County,20,183
0,Stafford County,20,185
2,Stanton County,20,187
1,Stevens County,20,189
5,Sumner County,20,191
0,Thomas County,20,193
2,Trego County,20,195
0,Wabaunsee County,20,197
0,Wallace County,20,199
3,Washington County,20,201
1,Wichita County,20,203
0,Wilson County,20,205
0,Woodson County,20,207
3,Wyandotte County,20,209
