migrant_housing,county,
20,Acadia Parish,22,001
0,Allen Parish,22,003
23,Ascension Parish,22,005
30,Assumption Parish,22,007
12,Avoyelles Parish,22,009
1,Beauregard Parish,22,011
4,Bienville Parish,22,013
92,Bossier Parish,22,015
93,Caddo Parish,22,017
12,Calcasieu Parish,22,019
2,Caldwell Parish,22,021
1,Cameron Parish,22,023
14,Catahoula Parish,22,025
2,Claiborne Parish,22,027
4,Concordia Parish,22,029
24,De Soto Parish,22,031
11,East Baton Rouge Parish,22,033
1,East Carroll Parish,22,035
0,East Feliciana Parish,22,037
8,Evangeline Parish,22,039
1,Franklin Parish,22,041
0,Grant Parish,22,043
18,Iberia Parish,22,045
105,Iberville Parish,22,047
0,Jackson Parish,22,049
25,Jefferson Parish,22,051
23,Jefferson Davis Parish,22,053
49,Lafayette Parish,22,055
31,Lafourche Parish,22,057
0,La Salle Parish,22,059
4,Lincoln Parish,22,061
9,Livingston Parish,22,063
0,Madison Parish,22,065
1,Morehouse Parish,22,067
36,Natchitoches Parish,22,069
26,Orleans Parish,22,071
11,Ouachita Parish,22,073
35,Plaquemines Parish,22,075
35,Pointe Coupee Parish,22,077
16,Rapides Parish,22,079
10,Red River Parish,22,081
4,Richland Parish,22,083
1,Sabine Parish,22,085
6,St. Bernard Parish,22,087
14,St. Charles Parish,22,089
0,St. Helena Parish,22,091
5,St. James Parish,22,093
14,St. John the Baptist Parish,22,095
3,St. Landry Parish,22,097
17,St. Martin Parish,22,099
18,St. Mary Parish,22,101
42,St. Tammany Parish,22,103
16,Tangipahoa Parish,22,105
7,Tensas Parish,22,107
24,Terrebonne Parish,22,109
4,Union Parish,22,111
9,Vermilion Parish,22,113
3,Vernon Parish,22,115
3,Washington Parish,22,117
4,Webster Parish,22,119
3,West Baton Rouge Parish,22,121
1,West Carroll Parish,22,123
10,West Feliciana Parish,22,125
2,Winn Parish,22,127
