migrant_housing,county,
5,Adams County,28,001
1,Alcorn County,28,003
2,Amite County,28,005
0,Attala County,28,007
0,Benton County,28,009
11,Bolivar County,28,011
19,Calhoun County,28,013
0,Carroll County,28,015
0,Chickasaw County,28,017
1,Choctaw County,28,019
1,Claiborne County,28,021
0,Clarke County,28,023
0,Clay County,28,025
18,Coahoma County,28,027
0,Copiah County,28,029
1,Covington County,28,031
15,DeSoto County,28,033
6,Forrest County,28,035
0,Franklin County,28,037
7,George County,28,039
0,Greene County,28,041
0,Grenada County,28,043
7,Hancock County,28,045
31,Harrison County,28,047
4,Hinds County,28,049
4,Holmes County,28,051
13,Humphreys County,28,053
0,Issaquena County,28,055
0,Itawamba County,28,057
5,Jackson County,28,059
1,Jasper County,28,061
0,Jefferson County,28,063
1,Jefferson Davis County,28,065
3,Jones County,28,067
1,Kemper County,28,069
4,Lafayette County,28,071
12,Lamar County,28,073
1,Lauderdale County,28,075
2,Lawrence County,28,077
0,Leake County,28,079
2,Lee County,28,081
7,Leflore County,28,083
0,Lincoln County,28,085
11,Lowndes County,28,087
1,Madison County,28,089
1,Marion County,28,091
1,Marshall County,28,093
4,Monroe County,28,095
0,Montgomery County,28,097
8,Neshoba County,28,099
0,Newton County,28,101
0,Noxubee County,28,103
3,Oktibbeha County,28,105
2,Panola County,28,107
3,Pearl River County,28,109
2,Perry County,28,111
9,Pike County,28,113
0,Pontotoc County,28,115
0,Prentiss County,28,117
1,Quitman County,28,119
4,Rankin County,28,121
2,Scott County,28,123
1,Sharkey County,28,125
2,Simpson County,28,127
3,Smith County,28,129
2,Stone County,28,131
17,Sunflower County,28,133
2,Tallahatchie County,28,135
5,Tate County,28,137
0,Tippah County,28,139
1,Tishomingo County,28,141
8,Tunica County,28,143
0,Union County,28,145
3,Walthall County,28,147
0,Warren County,28,149
6,Washington County,28,151
4,Wayne County,28,153
1,Webster County,28,155
9,Wilkinson County,28,157
2,Winston County,28,159
0,Yalobusha County,28,161
15,Yazoo County,28,163
