migrant_housing,county,
3,Alamance County,37,001
3,Alexander County,37,003
30,Alleghany County,37,005
3,Anson County,37,007
10,Ashe County,37,009
8,Avery County,37,011
7,Beaufort County,37,013
5,Bertie County,37,015
78,Bladen County,37,017
10,Brunswick County,37,019
18,Buncombe County,37,021
3,Burke County,37,023
2,Cabarrus County,37,025
1,Caldwell County,37,027
1,Camden County,37,029
4,Carteret County,37,031
18,Caswell County,37,033
3,Catawba County,37,035
6,Chatham County,37,037
1,Cherokee County,37,039
4,Chowan County,37,041
1,Clay County,37,043
28,Cleveland County,37,045
22,Columbus County,37,047
18,Craven County,37,049
25,Cumberland County,37,051
2,Currituck County,37,053
5,Dare County,37,055
7,Davidson County,37,057
2,Davie County,37,059
66,Duplin County,37,061
3,Durham County,37,063
32,Edgecombe County,37,065
9,Forsyth County,37,067
27,Franklin County,37,069
0,Gaston County,37,071
0,Gates County,37,073
0,Graham County,37,075
36,Granville County,37,077
47,Greene County,37,079
12,Guilford County,37,081
18,Halifax County,37,083
23,Harnett County,37,085
6,Haywood County,37,087
102,Henderson County,37,089
0,Hertford County,37,091
4,Hoke County,37,093
34,Hyde County,37,095
10,Iredell County,37,097
9,Jackson County,37,099
58,Johnston County,37,101
6,Jones County,37,103
1,Lee County,37,105
38,Lenoir County,37,107
5,Lincoln County,37,109
3,McDowell County,37,111
50,Macon County,37,113
5,Madison County,37,115
10,Martin County,37,117
11,Mecklenburg County,37,119
6,Mitchell County,37,121
5,Montgomery County,37,123
5,Moore County,37,125
69,Nash County,37,127
9,New Hanover County,37,129
8,Northampton County,37,131
16,Onslow County,37,133
9,Orange County,37,135
13,Pamlico County,37,137
0,Pasquotank County,37,139
26,Pender County,37,141
1,Perquimans County,37,143
36,Person County,37,145
29,Pitt County,37,147
1,Polk County,37,149
19,Randolph County,37,151
4,Richmond County,37,153
11,Robeson County,37,155
32,Rockingham County,37,157
4,Rowan County,37,159
5,Rutherford County,37,161
155,Sampson County,37,163
3,Scotland County,37,165
1,Stanly County,37,167
23,Stokes County,37,169
16,Surry County,37,171
8,Swain County,37,173
9,Transylvania County,37,175
9,Tyrrell County,37,177
2,Union County,37,179
9,Vance County,37,181
27,Wake County,37,183
11,Warren County,37,185
1,Washington County,37,187
4,Watauga County,37,189
40,Wayne County,37,191
13,Wilkes County,37,193
14,Wilson County,37,195
14,Yadkin County,37,197
0,Yancey County,37,199
