migrant_housing,county,
1,Adams County,38,001
0,Barnes County,38,003
0,Benson County,38,005
0,Billings County,38,007
1,Bottineau County,38,009
3,Bowman County,38,011
0,Burke County,38,013
1,Burleigh County,38,015
2,Cass County,38,017
4,Cavalier County,38,019
6,Dickey County,38,021
6,Divide County,38,023
3,Dunn County,38,025
0,Eddy County,38,027
1,Emmons County,38,029
4,Foster County,38,031
2,Golden Valley County,38,033
18,Grand Forks County,38,035
0,Grant County,38,037
0,Griggs County,38,039
0,Hettinger County,38,041
4,Kidder County,38,043
1,LaMoure County,38,045
0,Logan County,38,047
0,McHenry County,38,049
0,McIntosh County,38,051
0,McKenzie County,38,053
7,McLean County,38,055
1,Mercer County,38,057
3,Morton County,38,059
35,Mountrail County,38,061
5,Nelson County,38,063
1,Oliver County,38,065
21,Pembina County,38,067
1,Pierce County,38,069
0,Ramsey County,38,071
0,Ransom County,38,073
0,Renville County,38,075
2,Richland County,38,077
0,Rolette County,38,079
10,Sargent County,38,081
0,Sheridan County,38,083
0,Sioux County,38,085
0,Slope County,38,087
10,Stark County,38,089
2,Steele County,38,091
5,Stutsman County,38,093
0,Towner County,38,095
2,Traill County,38,097
100,Walsh County,38,099
9,Ward County,38,101
1,Wells County,38,103
47,Williams County,38,105
