migrant_housing,county,
3,Adams County,31,001
0,Antelope County,31,003
0,Arthur County,31,005
1,Banner County,31,007
0,Blaine County,31,009
1,Boone County,31,011
4,Box Butte County,31,013
0,Boyd County,31,015
0,Brown County,31,017
0,Buffalo County,31,019
0,Burt County,31,021
0,Butler County,31,023
0,Cass County,31,025
0,Cedar County,31,027
1,Chase County,31,029
1,Cherry County,31,031
0,Cheyenne County,31,033
0,Clay County,31,035
0,Colfax County,31,037
0,Cuming County,31,039
1,Custer County,31,041
0,Dakota County,31,043
0,Dawes County,31,045
3,Dawson County,31,047
4,Deuel County,31,049
0,Dixon County,31,051
0,Dodge County,31,053
5,Douglas County,31,055
2,Dundy County,31,057
0,Fillmore County,31,059
0,Franklin County,31,061
1,Frontier County,31,063
0,Furnas County,31,065
0,Gage County,31,067
0,Garden County,31,069
0,Garfield County,31,071
0,Gosper County,31,073
0,Grant County,31,075
0,Greeley County,31,077
1,Hall County,31,079
0,Hamilton County,31,081
2,Harlan County,31,083
0,Hayes County,31,085
1,Hitchcock County,31,087
4,Holt County,31,089
0,Hooker County,31,091
0,Howard County,31,093
0,Jefferson County,31,095
0,Johnson County,31,097
1,Kearney County,31,099
2,Keith County,31,101
0,Keya Paha County,31,103
0,Kimball County,31,105
0,Knox County,31,107
1,Lancaster County,31,109
2,Lincoln County,31,111
1,Logan County,31,113
0,Loup County,31,115
1,McPherson County,31,117
0,Madison County,31,119
0,Merrick County,31,121
1,Morrill County,31,123
0,Nance County,31,125
0,Nemaha County,31,127
0,Nuckolls County,31,129
1,Otoe County,31,131
0,Pawnee County,31,133
1,Perkins County,31,135
3,Phelps County,31,137
0,Pierce County,31,139
0,Platte County,31,141
0,Polk County,31,143
1,Red Willow County,31,145
2,Richardson County,31,147
0,Rock County,31,149
0,Saline County,31,151
0,Sarpy County,31,153
3,Saunders County,31,155
1,Scotts Bluff County,31,157
1,Seward County,31,159
0,Sheridan County,31,161
0,Sherman County,31,163
1,Sioux County,31,165
1,Stanton County,31,167
0,Thayer County,31,169
0,Thomas County,31,171
0,Thurston County,31,173
0,Valley County,31,175
1,Washington County,31,177
0,Wayne County,31,179
0,Webster County,31,181
0,Wheeler County,31,183
0,York County,31,185
