migrant_housing,county,
8,Albany County,36,001
0,Allegany County,36,003
4,Bronx County,36,005
2,Broome County,36,007
5,Cattaraugus County,36,009
8,Cayuga County,36,011
4,Chautauqua County,36,013
7,Chemung County,36,015
5,Chenango County,36,017
10,Clinton County,36,019
20,Columbia County,36,021
0,Cortland County,36,023
4,Delaware County,36,025
13,Dutchess County,36,027
6,Erie County,36,029
4,Essex County,36,031
10,Franklin County,36,033
0,Fulton County,36,035
11,Genesee County,36,037
8,Greene County,36,039
0,Hamilton County,36,041
3,Herkimer County,36,043
2,Jefferson County,36,045
13,Kings County,36,047
0,Lewis County,36,049
0,Livingston County,36,051
3,Madison County,36,053
30,Monroe County,36,055
5,Montgomery County,36,057
3,Nassau County,36,059
46,New York County,36,061
40,Niagara County,36,063
3,Oneida County,36,065
16,Onondaga County,36,067
18,Ontario County,36,069
46,Orange County,36,071
106,Orleans County,36,073
29,Oswego County,36,075
5,Otsego County,36,077
1,Putnam County,36,079
20,Queens County,36,081
7,Rensselaer County,36,083
8,Richmond County,36,085
2,Rockland County,36,087
0,St. Lawrence County,36,089
17,Saratoga County,36,091
1,Schenectady County,36,093
2,Schoharie County,36,095
1,Schuyler County,36,097
0,Seneca County,36,099
4,Steuben County,36,101
33,Suffolk County,36,103
8,Sullivan County,36,105
1,Tioga County,36,107
0,Tompkins County,36,109
97,Ulster County,36,111
12,Warren County,36,113
14,Washington County,36,115
160,Wayne County,36,117
3,Westchester County,36,119
3,Wyoming County,36,121
1,Yates County,36,123
