county,poke_ratio
Albany County,1.612248769579555
Allegany County,1.7334906395348837
Bronx County,1.718305321818114
Broome County,1.7054171100478468
Cattaraugus County,1.7217012810383745
Cayuga County,1.708729325041156
Chautauqua County,1.5790275134992755
Chemung County,1.6285697667924526
Chenango County,1.6898227054478303
Clinton County,1.551736416938111
Columbia County,1.652412424951267
Cortland County,1.662445467361324
Delaware County,1.6220039069423933
Dutchess County,1.5837966674832389
Erie County,1.5984343369782847
Essex County,1.596733944954128
Franklin County,1.648860202219482
Fulton County,1.6914920031545744
Genesee County,1.746946772810778
Greene County,1.6290680151387722
Hamilton County,1.5875474439461883
Herkimer County,1.7470606770480708
Jefferson County,1.720787319355398
Kings County,1.6689494603809931
Lewis County,1.8412424153166418
Livingston County,1.5553548502495842
Madison County,1.7055969051461357
Monroe County,1.8217721416189983
Montgomery County,1.7570532570307391
Nassau County,1.6455933451666442
New York County,1.6454440559750902
Niagara County,1.592734372573244
Oneida County,1.7463121341279424
Onondaga County,1.6938366340023916
Ontario County,1.7601908144104808
Orange County,1.6113639343212494
Orleans County,1.8004518701700156
Oswego County,1.6944111523067198
Otsego County,1.6938864359992434
Putnam County,1.591733806500911
Queens County,1.668789063837558
Rensselaer County,1.6019560719559671
Richmond County,1.653685475419689
Rockland County,1.6684791955983964
Saratoga County,1.6162734253473838
Schenectady County,1.6810783204757314
Schoharie County,1.5816458132956157
Schuyler County,1.6192895693779903
Seneca County,1.867847948417351
St. Lawrence County,1.7296796535386436
Steuben County,1.6309786855690571
Suffolk County,1.6526777052548058
Sullivan County,1.5983135761024183
Tioga County,1.6268919059107354
Tompkins County,1.6674676598298057
Ulster County,1.5856622886074814
Warren County,1.612190227495587
Washington County,1.643757901907357
Wayne County,1.8220598073217724
Westchester County,1.6617122187135804
Wyoming County,1.6398005432451752
Yates County,1.7789020197044336
