migrant_housing,county,
0,Adams County,39,001
3,Allen County,39,003
0,Ashland County,39,005
2,Ashtabula County,39,007
1,Athens County,39,009
0,Auglaize County,39,011
0,Belmont County,39,013
6,Brown County,39,015
1,Butler County,39,017
0,Carroll County,39,019
1,Champaign County,39,021
7,Clark County,39,023
1,Clermont County,39,025
1,Clinton County,39,027
1,Columbiana County,39,029
0,Coshocton County,39,031
0,Crawford County,39,033
8,Cuyahoga County,39,035
4,Darke County,39,037
2,Defiance County,39,039
0,Delaware County,39,041
7,Erie County,39,043
1,Fairfield County,39,045
0,Fayette County,39,047
34,Franklin County,39,049
3,Fulton County,39,051
1,Gallia County,39,053
1,Geauga County,39,055
5,Greene County,39,057
1,Guernsey County,39,059
13,Hamilton County,39,061
7,Hancock County,39,063
0,Hardin County,39,065
0,Harrison County,39,067
8,Henry County,39,069
0,Highland County,39,071
0,Hocking County,39,073
0,Holmes County,39,075
36,Huron County,39,077
2,Jackson County,39,079
1,Jefferson County,39,081
1,Knox County,39,083
5,Lake County,39,085
1,Lawrence County,39,087
4,Licking County,39,089
0,Logan County,39,091
2,Lorain County,39,093
2,Lucas County,39,095
0,Madison County,39,097
3,Mahoning County,39,099
2,Marion County,39,101
0,Medina County,39,103
5,Meigs County,39,105
1,Mercer County,39,107
5,Miami County,39,109
0,Monroe County,39,111
2,Montgomery County,39,113
0,Morgan County,39,115
0,Morrow County,39,117
10,Muskingum County,39,119
1,Noble County,39,121
65,Ottawa County,39,123
2,Paulding County,39,125
0,Perry County,39,127
0,Pickaway County,39,129
0,Pike County,39,131
0,Portage County,39,133
0,Preble County,39,135
7,Putnam County,39,137
6,Richland County,39,139
0,Ross County,39,141
7,Sandusky County,39,143
0,Scioto County,39,145
3,Seneca County,39,147
0,Shelby County,39,149
8,Stark County,39,151
2,Summit County,39,153
0,Trumbull County,39,155
4,Tuscarawas County,39,157
0,Union County,39,159
0,Van Wert County,39,161
0,Vinton County,39,163
1,Warren County,39,165
6,Washington County,39,167
3,Wayne County,39,169
5,Williams County,39,171
25,Wood County,39,173
0,Wyandot County,39,175
