migrant_housing,county,
50,Adams County,42,001
25,Allegheny County,42,003
8,Armstrong County,42,005
1,Beaver County,42,007
2,Bedford County,42,009
4,Berks County,42,011
7,Blair County,42,013
62,Bradford County,42,015
11,Bucks County,42,017
2,Butler County,42,019
3,Cambria County,42,021
0,Cameron County,42,023
3,Carbon County,42,025
1,Centre County,42,027
12,Chester County,42,029
1,Clarion County,42,031
6,Clearfield County,42,033
3,Clinton County,42,035
1,Columbia County,42,037
1,Crawford County,42,039
3,Cumberland County,42,041
7,Dauphin County,42,043
1,Delaware County,42,045
0,Elk County,42,047
2,Erie County,42,049
12,Fayette County,42,051
0,Forest County,42,053
7,Franklin County,42,055
0,Fulton County,42,057
2,Greene County,42,059
3,Huntingdon County,42,061
1,Indiana County,42,063
1,Jefferson County,42,065
0,Juniata County,42,067
2,Lackawanna County,42,069
11,Lancaster County,42,071
0,Lawrence County,42,073
0,Lebanon County,42,075
3,Lehigh County,42,077
2,Luzerne County,42,079
6,Lycoming County,42,081
1,McKean County,42,083
2,Mercer County,42,085
0,Mifflin County,42,087
1,Monroe County,42,089
26,Montgomery County,42,091
19,Montour County,42,093
2,Northampton County,42,095
21,Northumberland County,42,097
1,Perry County,42,099
9,Philadelphia County,42,101
2,Pike County,42,103
1,Potter County,42,105
3,Schuylkill County,42,107
4,Snyder County,42,109
1,Somerset County,42,111
0,Sullivan County,42,113
8,Susquehanna County,42,115
6,Tioga County,42,117
1,Union County,42,119
0,Venango County,42,121
1,Warren County,42,123
18,Washington County,42,125
2,Wayne County,42,127
10,Westmoreland County,42,129
5,Wyoming County,42,131
1,York County,42,133
