migrant_housing,county,
0,Aurora County,46,003
1,Beadle County,46,005
0,Bennett County,46,007
0,Bon Homme County,46,009
3,Brookings County,46,011
8,Brown County,46,013
1,Brule County,46,015
0,Buffalo County,46,017
1,Butte County,46,019
0,Campbell County,46,021
0,Charles Mix County,46,023
0,Clark County,46,025
2,Clay County,46,027
0,Codington County,46,029
0,Corson County,46,031
0,Custer County,46,033
0,Davison County,46,035
1,Day County,46,037
0,Deuel County,46,039
4,Dewey County,46,041
0,Douglas County,46,043
2,Edmunds County,46,045
0,Fall River County,46,047
0,Faulk County,46,049
0,Grant County,46,051
0,Gregory County,46,053
2,Haakon County,46,055
2,Hamlin County,46,057
0,Hand County,46,059
0,Hanson County,46,061
1,Harding County,46,063
0,Hughes County,46,065
0,Hutchinson County,46,067
2,Hyde County,46,069
1,Jackson County,46,071
0,Jerauld County,46,073
0,Jones County,46,075
0,Kingsbury County,46,077
6,Lake County,46,079
2,Lawrence County,46,081
0,Lincoln County,46,083
2,Lyman County,46,085
0,McCook County,46,087
0,McPherson County,46,089
0,Marshall County,46,091
1,Meade County,46,093
1,Mellette County,46,095
3,Miner County,46,097
0,Minnehaha County,46,099
0,Moody County,46,101
29,Pennington County,46,103
3,Perkins County,46,105
0,Potter County,46,107
0,Roberts County,46,109
1,Sanborn County,46,111
0,Shannon County,46,113
0,Spink County,46,115
2,Stanley County,46,117
3,Sully County,46,119
0,Todd County,46,121
4,Tripp County,46,123
0,Turner County,46,125
0,Union County,46,127
0,Walworth County,46,129
0,Yankton County,46,135
0,Ziebach County,46,137
