migrant_housing,county,
0,Anderson County,47,001
1,Bedford County,47,003
1,Benton County,47,005
29,Bledsoe County,47,007
10,Blount County,47,009
6,Bradley County,47,011
0,Campbell County,47,013
0,Cannon County,47,015
1,Carroll County,47,017
3,Carter County,47,019
4,Cheatham County,47,021
0,Chester County,47,023
1,Claiborne County,47,025
0,Clay County,47,027
15,Cocke County,47,029
4,Coffee County,47,031
14,Crockett County,47,033
4,Cumberland County,47,035
4,Davidson County,47,037
0,Decatur County,47,039
6,DeKalb County,47,041
5,Dickson County,47,043
2,Dyer County,47,045
3,Fayette County,47,047
1,Fentress County,47,049
10,Franklin County,47,051
3,Gibson County,47,053
1,Giles County,47,055
2,Grainger County,47,057
6,Greene County,47,059
11,Grundy County,47,061
4,Hamblen County,47,063
28,Hamilton County,47,065
0,Hancock County,47,067
0,Hardeman County,47,069
0,Hardin County,47,071
10,Hawkins County,47,073
0,Haywood County,47,075
1,Henderson County,47,077
13,Henry County,47,079
2,Hickman County,47,081
2,Houston County,47,083
2,Humphreys County,47,085
0,Jackson County,47,087
3,Jefferson County,47,089
4,Johnson County,47,091
5,Knox County,47,093
0,Lake County,47,095
12,Lauderdale County,47,097
0,Lawrence County,47,099
0,Lewis County,47,101
4,Lincoln County,47,103
0,Loudon County,47,105
1,McMinn County,47,107
1,McNairy County,47,109
11,Macon County,47,111
2,Madison County,47,113
1,Marion County,47,115
6,Marshall County,47,117
1,Maury County,47,119
3,Meigs County,47,121
1,Monroe County,47,123
14,Montgomery County,47,125
1,Moore County,47,127
0,Morgan County,47,129
1,Obion County,47,131
1,Overton County,47,133
0,Perry County,47,135
0,Pickett County,47,137
0,Polk County,47,139
12,Putnam County,47,141
7,Rhea County,47,143
11,Roane County,47,145
24,Robertson County,47,147
1,Rutherford County,47,149
0,Scott County,47,151
0,Sequatchie County,47,153
4,Sevier County,47,155
7,Shelby County,47,157
1,Smith County,47,159
7,Stewart County,47,161
1,Sullivan County,47,163
5,Sumner County,47,165
5,Tipton County,47,167
4,Trousdale County,47,169
1,Unicoi County,47,171
0,Union County,47,173
0,Van Buren County,47,175
6,Warren County,47,177
7,Washington County,47,179
0,Wayne County,47,181
0,Weakley County,47,183
1,White County,47,185
6,Williamson County,47,187
1,Wilson County,47,189
