migrant_housing,county,
4,Anderson County,48,001
4,Andrews County,48,003
4,Angelina County,48,005
2,Aransas County,48,007
1,Archer County,48,009
0,Armstrong County,48,011
14,Atascosa County,48,013
1,Austin County,48,015
27,Bailey County,48,017
0,Bandera County,48,019
9,Bastrop County,48,021
0,Baylor County,48,023
10,Bee County,48,025
11,Bell County,48,027
72,Bexar County,48,029
2,Blanco County,48,031
1,Borden County,48,033
10,Bosque County,48,035
4,Bowie County,48,037
32,Brazoria County,48,039
25,Brazos County,48,041
1,Brewster County,48,043
1,Briscoe County,48,045
1,Brooks County,48,047
4,Brown County,48,049
6,Burleson County,48,051
5,Burnet County,48,053
6,Caldwell County,48,055
20,Calhoun County,48,057
6,Callahan County,48,059
54,Cameron County,48,061
5,Camp County,48,063
5,Carson County,48,065
2,Cass County,48,067
3,Castro County,48,069
3,Chambers County,48,071
4,Cherokee County,48,073
0,Childress County,48,075
5,Clay County,48,077
24,Cochran County,48,079
2,Coke County,48,081
1,Coleman County,48,083
10,Collin County,48,085
0,Collingsworth County,48,087
7,Colorado County,48,089
0,Comal County,48,091
10,Comanche County,48,093
0,Concho County,48,095
3,Cooke County,48,097
2,Coryell County,48,099
0,Cottle County,48,101
0,Crane County,48,103
2,Crockett County,48,105
10,Crosby County,48,107
1,Culberson County,48,109
4,Dallam County,48,111
37,Dallas County,48,113
13,Dawson County,48,115
6,Deaf Smith County,48,117
0,Delta County,48,119
10,Denton County,48,121
3,DeWitt County,48,123
0,Dickens County,48,125
10,Dimmit County,48,127
1,Donley County,48,129
0,Duval County,48,131
2,Eastland County,48,133
21,Ector County,48,135
2,Edwards County,48,137
10,Ellis County,48,139
15,El Paso County,48,141
26,Erath County,48,143
3,Falls County,48,145
5,Fannin County,48,147
1,Fayette County,48,149
3,Fisher County,48,151
8,Floyd County,48,153
1,Foard County,48,155
9,Fort Bend County,48,157
5,Franklin County,48,159
5,Freestone County,48,161
6,Frio County,48,163
17,Gaines County,48,165
12,Galveston County,48,167
5,Garza County,48,169
2,Gillespie County,48,171
27,Glasscock County,48,173
0,Goliad County,48,175
11,Gonzales County,48,177
6,Gray County,48,179
9,Grayson County,48,181
5,Gregg County,48,183
3,Grimes County,48,185
0,Guadalupe County,48,187
51,Hale County,48,189
1,Hall County,48,191
3,Hamilton County,48,193
3,Hansford County,48,195
0,Hardeman County,48,197
7,Hardin County,48,199
127,Harris County,48,201
5,Harrison County,48,203
3,Hartley County,48,205
2,Haskell County,48,207
6,Hays County,48,209
5,Hemphill County,48,211
7,Henderson County,48,213
212,Hidalgo County,48,215
4,Hill County,48,217
9,Hockley County,48,219
9,Hood County,48,221
27,Hopkins County,48,223
12,Houston County,48,225
3,Howard County,48,227
14,Hudspeth County,48,229
8,Hunt County,48,231
2,Hutchinson County,48,233
4,Irion County,48,235
7,Jack County,48,237
4,Jackson County,48,239
2,Jasper County,48,241
16,Jeff Davis County,48,243
50,Jefferson County,48,245
1,Jim Hogg County,48,247
7,Jim Wells County,48,249
6,Johnson County,48,251
3,Jones County,48,253
2,Karnes County,48,255
0,Kaufman County,48,257
2,Kendall County,48,259
0,Kenedy County,48,261
4,Kent County,48,263
2,Kerr County,48,265
1,Kimble County,48,267
5,King County,48,269
0,Kinney County,48,271
0,Kleberg County,48,273
3,Knox County,48,275
7,Lamar County,48,277
14,Lamb County,48,279
2,Lampasas County,48,281
3,La Salle County,48,283
0,Lavaca County,48,285
1,Lee County,48,287
1,Leon County,48,289
2,Liberty County,48,291
9,Limestone County,48,293
1,Lipscomb County,48,295
1,Live Oak County,48,297
2,Llano County,48,299
0,Loving County,48,301
35,Lubbock County,48,303
14,Lynn County,48,305
3,McCulloch County,48,307
7,McLennan County,48,309
0,McMullen County,48,311
1,Madison County,48,313
3,Marion County,48,315
8,Martin County,48,317
1,Mason County,48,319
8,Matagorda County,48,321
28,Maverick County,48,323
5,Medina County,48,325
4,Menard County,48,327
6,Midland County,48,329
16,Milam County,48,331
4,Mills County,48,333
6,Mitchell County,48,335
5,Montague County,48,337
6,Montgomery County,48,339
2,Moore County,48,341
2,Morris County,48,343
1,Motley County,48,345
8,Nacogdoches County,48,347
10,Navarro County,48,349
2,Newton County,48,351
2,Nolan County,48,353
25,Nueces County,48,355
5,Ochiltree County,48,357
1,Oldham County,48,359
30,Orange County,48,361
5,Palo Pinto County,48,363
4,Panola County,48,365
21,Parker County,48,367
16,Parmer County,48,369
9,Pecos County,48,371
14,Polk County,48,373
2,Potter County,48,375
5,Presidio County,48,377
1,Rains County,48,379
3,Randall County,48,381
11,Reagan County,48,383
3,Real County,48,385
2,Red River County,48,387
6,Reeves County,48,389
3,Refugio County,48,391
0,Roberts County,48,393
9,Robertson County,48,395
1,Rockwall County,48,397
3,Runnels County,48,399
6,Rusk County,48,401
0,Sabine County,48,403
1,San Augustine County,48,405
1,San Jacinto County,48,407
13,San Patricio County,48,409
2,San Saba County,48,411
2,Schleicher County,48,413
2,Scurry County,48,415
1,Shackelford County,48,417
6,Shelby County,48,419
9,Sherman County,48,421
8,Smith County,48,423
1,Somervell County,48,425
57,Starr County,48,427
3,Stephens County,48,429
0,Sterling County,48,431
1,Stonewall County,48,433
15,Sutton County,48,435
2,Swisher County,48,437
14,Tarrant County,48,439
5,Taylor County,48,441
6,Terrell County,48,443
17,Terry County,48,445
6,Throckmorton County,48,447
2,Titus County,48,449
24,Tom Green County,48,451
24,Travis County,48,453
0,Trinity County,48,455
9,Tyler County,48,457
6,Upshur County,48,459
14,Upton County,48,461
28,Uvalde County,48,463
6,Val Verde County,48,465
6,Van Zandt County,48,467
4,Victoria County,48,469
4,Walker County,48,471
