migrant_housing,county,
4,Albany County,56,001
14,Big Horn County,56,003
40,Campbell County,56,005
45,Carbon County,56,007
5,Converse County,56,009
1,Crook County,56,011
3,Fremont County,56,013
3,Goshen County,56,015
0,Hot Springs County,56,017
6,Johnson County,56,019
4,Laramie County,56,021
6,Lincoln County,56,023
9,Natrona County,56,025
1,Niobrara County,56,027
14,Park County,56,029
5,Platte County,56,031
1,Sheridan County,56,033
26,Sublette County,56,035
107,Sweetwater County,56,037
8,Teton County,56,039
5,Uinta County,56,041
13,Washakie County,56,043
2,Weston County,56,045
