county,poke_ratio
Albany County,1.582580365630713
Big Horn County,1.63462
Campbell County,1.6247251491053678
Carbon County,1.6442700000000001
Converse County,1.5860279024390247
Fremont County,1.6348458808618505
Goshen County,1.64427
Hot Springs County,1.60264
Johnson County,1.63462
Laramie County,1.6907080976412507
Lincoln County,1.6248630927835053
Natrona County,1.4384922532299742
Park County,1.5446613360323889
Platte County,1.63743796875
Sheridan County,1.6089859544159544
Sublette County,1.6245057777777778
Sweetwater County,1.5246348330404218
Teton County,1.6231828903654486
Uinta County,1.3967474637681159
Washakie County,1.60264
Weston County,1.6158934482758625
