Longitude's : 
1. -86.6801555
2. -154.0547375
3. -111.9288505
4. -92.173527
5. -119.273428
6. -105.55095399999999
7. -72.7632505
8. -75.4168275
9. -77.013356
10. -83.834885
11. -83.246114
12. -157.2861325
13. -114.144273
14. -89.50351850000001
15. -86.430955
16. -93.386669
17. -98.332346
18. -85.69430650000001
19. -91.5217715
20. -69.006069
21. -77.2680335
22. -71.7226315
23. -86.414524
24. -93.4222695
25. -89.867735
26. -92.343312
27. -109.88321400000001
28. -99.679674
29. -117.02514400000001
30. -71.62404699999999
31. -74.73221050000001
32. -106.0219705
33. -75.62495200000001
34. -80.0174575
35. -100.304045
36. -82.668297
37. -98.715732
38. -120.508478
39. -77.629512
40. -71.4898615
41. -80.94032200000001
42. -100.24653749999999
43. -85.99553800000001
44. -100.084967
45. -111.54546500000001
46. -72.470234
47. -79.45881
48. -120.8124485
49. -80.170812
50. -89.96632
51. -107.550037
52. -66.448338

Latitude's : 
1. 32.621449
2. 61.5013555
3. 34.165946
4. 34.7519785
5. 37.274109499999994
6. 38.999346
7. 41.5187385
8. 39.141746499999996
9. 38.8925455
10. 28.061895999999997
11. 32.67348
12. 20.588611
13. 45.497735500000005
14. 39.7469485
15. 39.774333
16. 41.940462999999994
17. 38.498205999999996
18. 37.799896000000004
19. 31.013967
20. 45.259489
21. 38.8158685
22. 42.1924025
23. 44.933611
24. 46.442508000000004
25. 32.5885875
26. 38.306512999999995
27. 46.6971855
28. 41.5023075
29. 38.569406
30. 43.9997925
31. 40.176888
32. 34.165946
33. 42.781173
34. 35.2175185
35. 47.466696
36. 40.2015345
37. 35.318842000000004
38. 44.125762
39. 40.995690499999995
40. 41.6638775
41. 33.6155135
42. 44.2161315
43. 35.830936
44. 31.194705999999996
45. 39.500485999999995
46. 43.8710845
47. 38.005281499999995
48. 47.275003
49. 38.922669
50. 44.678933
51. 43.000251000000006
52. 18.2225725
