county,poke_ratio
Arkansas County,1.6438886583831394
Ashley County,1.6278729413946589
Baxter County,1.575825555938433
Benton County,1.6168911110380646
Boone County,1.5780675995841187
Bradley County,1.6481996986655185
Calhoun County,1.617900892857143
Carroll County,1.5869193902707464
Chicot County,1.602186669316375
Clark County,1.6016665327413981
Clay County,1.603228786026201
Cleburne County,1.6425933316540726
Cleveland County,1.5228821943573667
Columbia County,1.647001513280958
Conway County,1.620908730381166
Craighead County,1.681416634696281
Crawford County,1.6099778922237378
Crittenden County,1.6867543761273625
Cross County,1.562319711299154
Dallas County,1.5671914017660045
Desha County,1.574267498478393
Drew County,1.6130286723323894
Faulkner County,1.625380942205588
Franklin County,1.6366216515426497
Fulton County,1.6410945806067814
Garland County,1.643838372379778
Grant County,1.6312215787682882
Greene County,1.646089272884035
Hempstead County,1.7478138825363825
Hot Spring County,1.6324379718718605
Howard County,1.69148251637044
Independence County,1.612207825412651
Izard County,1.6113623777602524
Jackson County,1.6457083801874164
Jefferson County,1.5942310388696406
Johnson County,1.5623297874460316
Lafayette County,1.6934150627615063
Lawrence County,1.6759806718346253
Lee County,1.5891760622222222
Lincoln County,1.5608683535911603
Little River County,1.6829676708074532
Logan County,1.6277457380343445
Lonoke County,1.5905489653297076
Madison County,1.6205857024793389
Marion County,1.6068338365896981
Miller County,1.737332695015084
Mississippi County,1.6444947743966423
Monroe County,1.5761131550802139
Montgomery County,1.5996683775811207
Nevada County,1.9447909660574414
Newton County,1.6338569273743018
Ouachita County,1.7088841190547412
Perry County,1.5894183692307693
Phillips County,1.583518660839161
Pike County,1.5947051830985919
Poinsett County,1.6619492934176276
Polk County,1.5583679084183168
Pope County,1.6057987107154352
Prairie County,1.6132964451827243
Pulaski County,1.6396263604319115
Randolph County,1.5948791760224539
Saline County,1.6038483107154489
Scott County,1.6444839260969981
Searcy County,1.6119778748180498
Sebastian County,1.6332149734062065
Sevier County,1.6646611358024692
Sharp County,1.6608756661442006
St. Francis County,1.5812185244845363
Stone County,1.650131677829873
Union County,1.7043907275525367
Van Buren County,1.6311065789473684
Washington County,1.6297179557388386
White County,1.6616136815017652
Woodruff County,1.703319870801034
Yell County,1.5842367341356671
