county,poke_ratio
Apache County,1.6881717203107662
Cochise County,1.619616153481013
Coconino County,1.6694135945256945
Gila County,1.637967736466962
Graham County,1.6265371464278275
Greenlee County,1.591743484626647
La Paz County,1.6271117856235713
Maricopa County,1.6229997020958726
Mohave County,1.6261676029417627
Navajo County,1.6301738658865887
Pima County,1.6333785596467392
Pinal County,1.6260808667923345
Santa Cruz County,1.6306579816980173
Yavapai County,1.6209421484722208
Yuma County,1.5596768511860732
