county,poke_ratio
Alameda County,1.4135372918184872
Amador County,1.555765877994567
Butte County,1.4968935333943785
Calaveras County,1.4752333935742972
Colusa County,1.4447723220486108
Contra Costa County,1.4234128944698858
Del Norte County,1.371402096349266
El Dorado County,1.5150792125886303
Fresno County,1.4835468432599332
Glenn County,1.5140348191068398
Humboldt County,1.356754381737888
Imperial County,1.426666453446839
Inyo County,1.5433757911908645
Kern County,1.5270784473549008
Kings County,1.5404703072445018
Lake County,1.4631439532485386
Lassen County,1.4891118411214954
Los Angeles County,1.4356083159207669
Madera County,1.4475245372460495
Marin County,1.4381184450508337
Mariposa County,1.4400874154589371
Mendocino County,1.4962827038065674
Merced County,1.484134704765978
Modoc County,1.4607380416666664
Mono County,1.4892042857142855
Monterey County,1.4192089467438065
Napa County,1.5477121498922746
Nevada County,1.4668373901062852
Orange County,1.4090441465815708
Placer County,1.5480290013661202
Plumas County,1.4864549796472184
Riverside County,1.4492562864724017
Sacramento County,1.5434263002383974
San Benito County,1.4676607402540516
San Bernardino County,1.4819639833450426
San Diego County,1.4545094309134003
San Francisco County,1.4924201484994009
San Joaquin County,1.576278167301666
San Luis Obispo County,1.5100895343906122
San Mateo County,1.4729799941494306
Santa Barbara County,1.5285233415820552
Santa Clara County,1.4262966843222655
Santa Cruz County,1.3515476126864931
Shasta County,1.4714827624166555
Siskiyou County,1.482357962040332
Solano County,1.5447657069211922
Sonoma County,1.4585668847601898
Stanislaus County,1.5656871398157357
Sutter County,1.5688701704632555
Tehama County,1.4539411814512937
Trinity County,1.4801588425671968
Tulare County,1.5291062861931777
Tuolumne County,1.4508185789315724
Ventura County,1.4878845973819912
Yolo County,1.4980025964400348
Yuba County,1.5170505224963717
