county,poke_ratio
Adams County,1.6387586980370512
Alamosa County,1.6271483787936996
Arapahoe County,1.6545350019309417
Archuleta County,1.2604670999999998
Baca County,1.571347142857143
Bent County,1.6209199621212123
Boulder County,1.630037596749971
Broomfield County,1.5938001641414146
Chaffee County,1.6294512877939529
Conejos County,1.6745568495934962
Costilla County,1.6421960869565218
Custer County,1.6442700000000001
Delta County,1.6392135924818454
Denver County,1.6527042233774214
Dolores County,1.6442700000000001
Douglas County,1.6157260407372824
Eagle County,1.6101984638196918
El Paso County,1.652659248334532
Elbert County,1.6298073480083857
Fremont County,1.6188192602465843
Garfield County,1.6324070095559304
Gilpin County,1.6364055555555557
Grand County,1.6713134447539462
Gunnison County,1.6175744736842106
Hinsdale County,1.6260884615384614
Huerfano County,1.632346864064603
Jefferson County,1.6438892104472702
Kiowa County,1.625646052631579
Kit Carson County,1.6204814285714286
La Plata County,1.4710297445783127
Lake County,1.6112746641791045
Larimer County,1.6852928926506525
Las Animas County,1.6234447489361703
Lincoln County,1.6238559914712152
Logan County,1.6945703084260733
Mesa County,1.750259392607909
Mineral County,1.6442700000000001
Moffat County,1.6890231818181818
Montezuma County,1.4814971673819743
Montrose County,1.5944637820823246
Morgan County,1.6294404556354916
Otero County,1.6399652255639097
Ouray County,1.603670838095238
Park County,1.6321628735632185
Phillips County,1.6603414722753347
Pitkin County,1.604797204968944
Prowers County,1.6464581645569618
Pueblo County,1.624122313708684
Rio Blanco County,1.6320200425531917
Rio Grande County,1.6174702195945947
Routt County,1.642709245727755
San Miguel County,1.6383535081967213
Sedgwick County,1.6561203225806453
Summit County,1.6275017039759443
Teller County,1.6321287568605927
Washington County,1.7109599999999998
Weld County,1.676869085008068
Yuma County,1.6925324999999998
