county,poke_ratio
Alachua County,1.6984052563991576
Baker County,1.6789553053670574
Bay County,1.63952801154933
Bradford County,1.695340398018167
Brevard County,1.7361642454849313
Broward County,1.7023149034325495
Calhoun County,1.7118237747594796
Charlotte County,1.6886546130392386
Citrus County,1.6839045753684085
Clay County,1.6736563034689775
Collier County,1.6556373431949378
Columbia County,1.6850538118679437
DeSoto County,1.6730176551724136
Dixie County,1.674705783847981
Duval County,1.6786054416144804
Escambia County,1.5024331808971598
Flagler County,1.742144366109696
Franklin County,1.659052684365782
Gadsden County,1.6949563128491623
Gilchrist County,1.6569818727050183
Glades County,1.6593847482014388
Gulf County,1.6494798945147677
Hamilton County,1.6617183260126889
Hardee County,1.5856861587301587
Hendry County,1.6683532126880847
Hernando County,1.6964219354242025
Highlands County,1.679873647702235
Hillsborough County,1.685029038002963
Holmes County,1.6721769111969114
Indian River County,1.732853823927547
Jackson County,1.6395535178420908
Jefferson County,1.6750179823788547
Lafayette County,1.7290706756756753
Lake County,1.6908158734777097
Lee County,1.6718644330927388
Leon County,1.69397670790015
Levy County,1.657772707573482
Liberty County,1.5827862831858404
Madison County,1.6908939057093426
Manatee County,1.6815292559061445
Marion County,1.6697812423038332
Martin County,1.6542791072494734
Miami-Dade County,1.6185697801131704
Monroe County,1.6734769369566405
Nassau County,1.62378195043302
Okaloosa County,1.6248777201559688
Okeechobee County,1.6855612934684974
Orange County,1.7119377318432176
Osceola County,1.7063231793656752
Palm Beach County,1.6400852891302216
Pasco County,1.7174946491892356
Pinellas County,1.7323010637176761
Polk County,1.8416606825870645
Putnam County,1.5883196549391065
Santa Rosa County,1.5388583935945213
Sarasota County,1.6815228557258872
Seminole County,1.7020417819768157
St. Johns County,1.688883551854975
St. Lucie County,1.6995664504091357
Sumter County,1.6565546996781781
Suwannee County,1.6499454354042111
Taylor County,1.6879270105379922
Union County,1.5578649315068493
Volusia County,1.7212466818466077
Wakulla County,1.6748389386792453
Walton County,1.6001544127620222
Washington County,1.641271183621241
