county,poke_ratio
Adair County,1.690339776536313
Adams County,1.7028299999999996
Allamakee County,1.4292908968609865
Appanoose County,1.4865508111792773
Audubon County,1.7028299999999996
Benton County,1.6292554386892175
Black Hawk County,1.9012930959446095
Boone County,1.5986445652173913
Bremer County,1.6374530861244017
Buchanan County,1.6491979366106078
Buena Vista County,1.7009922822631913
Calhoun County,1.6869149197860958
Carroll County,1.493519657615112
Cass County,1.4886202702702702
Cedar County,1.4905512660550457
Cerro Gordo County,1.6613870486935864
Cherokee County,1.5660342570951586
Chickasaw County,1.5643033688212928
Clarke County,1.70283
Clay County,1.7661049628783556
Clayton County,1.6324994625603864
Clinton County,1.518180344048217
Crawford County,1.4941219055374593
Dallas County,1.676999625056741
Davis County,1.4533766950182259
Decatur County,1.7028299999999998
Delaware County,1.6465712183353434
Des Moines County,1.5058893321769296
Dickinson County,1.7702720412371136
Dubuque County,1.5874627371462737
Emmet County,1.76394
Fayette County,1.669576233766234
Floyd County,1.4970935757575758
Franklin County,1.5692455555555556
Fremont County,1.5113891570026763
Greene County,1.5493114516129032
Grundy County,1.5890023021582733
Guthrie County,1.7028299999999998
Hamilton County,1.513131140757927
Hancock County,1.625118090452261
Hardin County,1.4255985529715762
Harrison County,1.163514040767386
Henry County,1.6274508048511578
Howard County,1.6748363829787234
Humboldt County,1.6988053898305082
Ida County,1.7661770042194094
Iowa County,1.535635598135681
Jackson County,1.5442829858961127
Jasper County,1.5334853176130894
Jefferson County,1.4976547725458897
Johnson County,1.566248404292223
Jones County,1.6427951912378302
Keokuk County,1.4296136290322583
Kossuth County,1.5914000000000001
Lee County,1.523665886699507
Linn County,1.6302675588228461
Louisa County,1.628875944055944
Lucas County,1.5392161442307692
Lyon County,1.7872245945945948
Madison County,1.5646826641414135
Mahaska County,1.5421529555555553
Marion County,1.57355675402025
Marshall County,1.5377476134672619
Mills County,1.4561926252319113
Mitchell County,1.6986736012207526
Monona County,1.6865654437869821
Monroe County,1.451770694006309
Montgomery County,1.04235
Muscatine County,1.4941624529780566
O’Brien County,2.0776281320754717
Osceola County,1.6712820567375888
Page County,1.5699235013623982
Plymouth County,1.91721362716763
Pocahontas County,1.6981012686567163
Polk County,1.7216255617714158
Pottawattamie County,1.4797408173871958
Poweshiek County,1.5575789464442495
Ringgold County,1.7028299999999998
Sac County,1.7023237698081732
Scott County,1.4732767213877314
Shelby County,1.2504516
Sioux County,1.8577928776978416
Story County,1.484902981410386
Tama County,1.5484545312499998
Taylor County,1.48664
Union County,1.6386968600682592
Van Buren County,1.43213
Wapello County,1.456977488632389
Warren County,1.6138495852534562
Washington County,1.502772023529412
Wayne County,1.6916899305555555
Webster County,1.6860759164127124
Winneshiek County,1.352330810810811
Woodbury County,1.8838434131909965
Wright County,1.6861524202992837
