county,poke_ratio
Ada County,1.679593966622416
Bannock County,1.6143454514802633
Bear Lake County,1.6045200000000004
Benewah County,1.639358838028169
Bingham County,1.3986735613207546
Blaine County,1.5965564806866952
Boise County,1.6879264727272727
Bonner County,1.612327093410251
Bonneville County,1.563870976969697
Boundary County,1.633455811320755
Canyon County,1.6439516751858736
Caribou County,1.6045200000000002
Cassia County,1.8227486199575376
Clearwater County,1.3482952526690393
Elmore County,1.6711012524719846
Franklin County,1.45635625
Fremont County,1.4596441121495327
Gem County,1.6693333790737566
Gooding County,1.662422082840237
Idaho County,1.4054432668187002
Jefferson County,1.5194611375387796
Jerome County,1.6660158506224065
Kootenai County,1.623308104614301
Latah County,1.4511341573033707
Lemhi County,1.5850010240963859
Lincoln County,1.6986314285714288
Madison County,1.5189954361894902
Minidoka County,1.6931520187793425
Nez Perce County,1.3204908377948197
Oneida County,1.5916144835164836
Owyhee County,1.6662665217391306
Payette County,1.667949746588694
Power County,1.657972313432836
Shoshone County,1.6021952090032154
Teton County,1.518984193548387
Twin Falls County,1.7662605897085613
Valley County,1.6914592792792793
Washington County,1.6611744830188677
