county,poke_ratio
Adams County,1.797487922355849
Alexander County,1.3595229763246899
Bond County,1.6517178354978357
Boone County,1.57149
Brown County,1.7941449675023213
Bureau County,1.5687492950265574
Calhoun County,1.3988709356725146
Carroll County,1.7867219756838908
Cass County,1.6589364566929135
Champaign County,1.6367469055847388
Christian County,1.6395537384980703
Clark County,1.8569093504012222
Clay County,1.6944656249999999
Clinton County,1.6175986165048546
Coles County,1.6494919617224884
Cook County,1.5666723308834205
Crawford County,1.8283736322869955
Cumberland County,1.5980552054794521
De Witt County,1.6220145766773164
DeKalb County,1.534676013730484
Douglas County,1.5416129976580795
DuPage County,1.5363497410090625
Edgar County,1.8368824689165186
Edwards County,1.6285952335708633
Effingham County,1.6353983683018865
Fayette County,1.6406633992932864
Ford County,1.4151068193384224
Franklin County,1.5855353315033782
Fulton County,1.983055194174757
Greene County,1.5627093544733863
Grundy County,1.5289878282828284
Hamilton County,1.6039331688311689
Hancock County,1.7172243755697356
Hardin County,1.6185643438914028
Henry County,1.6313903673880223
Iroquois County,1.3149314319433516
Jackson County,1.596761086235798
Jasper County,1.732453133802817
Jefferson County,1.6883939889356785
Jersey County,1.4294248584474885
Jo Daviess County,1.5839964775641022
Johnson County,1.5850177639751553
Kane County,1.5681539174752712
Kankakee County,1.4797319945497014
Kendall County,1.5694791579575993
Knox County,1.6697443842712503
LaSalle County,1.634928766226307
Lake County,1.5945738327799936
Lawrence County,1.63236
Lee County,1.7066925986394557
Livingston County,1.5058998562476962
Logan County,1.658605658780117
Macon County,1.6684161040025214
Macoupin County,1.5338024342013648
Madison County,1.5420599232040257
Marion County,1.6052904039834646
Marshall County,1.68165796
Mason County,1.6693774350649353
Massac County,1.6217326640471512
McDonough County,1.6274746342531756
McHenry County,1.4394704546443329
McLean County,1.6044328937907502
Menard County,1.6460178410117436
Mercer County,1.6382766246056784
Monroe County,1.5137480455316057
Montgomery County,1.5791722365068337
Morgan County,1.6288768961072442
Moultrie County,1.6021458665889892
Ogle County,1.6659615228113442
Peoria County,1.7918689772196807
Perry County,1.5384580573142286
Piatt County,1.5896556493506493
Pike County,1.8094659850051706
Putnam County,1.5850994594594596
Randolph County,1.5223795497688004
Richland County,1.5946312361331219
Rock Island County,1.5291408706437708
Saline County,1.5893456329889688
Sangamon County,1.661698926134192
Schuyler County,1.7162785405405405
Scott County,1.597990344827586
Shelby County,1.5465875972540046
St. Clair County,1.5737199073888393
Stark County,1.7049188946459413
Stephenson County,1.8408552214765102
Tazewell County,1.7021068485305195
Union County,1.5404756968828377
Vermilion County,1.6152153729364984
Wabash County,1.4774528027681662
Warren County,1.60601519764508
Washington County,1.5541446938775512
Wayne County,1.60502475106383
White County,1.5646695003843198
Whiteside County,1.714662511818468
Will County,1.5616649858609486
Williamson County,1.6270240146465529
Winnebago County,1.6389181687342507
Woodford County,1.6838366447368422
