county,poke_ratio
Adams County,1.5003295313681027
Allen County,1.7364176618481244
Bartholomew County,1.7476259060979102
Benton County,1.5014034267241383
Blackford County,1.594282088863243
Boone County,1.7316243509341995
Brown County,1.63236
Carroll County,1.4914777212614447
Cass County,1.6268081889438943
Clark County,1.733903657949623
Clay County,1.821705383112655
Clinton County,1.651224904371585
Crawford County,1.7028627450980394
Daviess County,2.1180302867383514
DeKalb County,1.7176585559566786
Dearborn County,1.74439915461624
Decatur County,1.682489340909091
Delaware County,1.632494614968468
Dubois County,1.7895568568711366
Elkhart County,1.7043368254807991
Fayette County,1.7919254426619133
Floyd County,1.775098907020873
Fountain County,1.668354121510673
Franklin County,1.9531733333333332
Fulton County,1.6451225053078553
Gibson County,1.8932433227848102
Grant County,1.7264283864214145
Greene County,1.762017100917431
Hamilton County,1.6758580579621036
Hancock County,1.751463414372925
Harrison County,1.7035334793650792
Hendricks County,1.8011219446334186
Henry County,1.826662295756436
Howard County,1.7560619732231109
Huntington County,1.5622540444444446
Jackson County,1.6848089365411434
Jasper County,1.4908951065071494
Jay County,1.7237563274745604
Jefferson County,1.7446789128966917
Jennings County,1.6893428514694202
Johnson County,1.74489817811204
Knox County,1.9574935226019845
Kosciusko County,1.6040873250285277
LaPorte County,1.5086326286635108
LaGrange County,1.689411613456917
Lake County,1.5262109064387002
Lawrence County,1.7199308028455285
Madison County,1.639326344706731
Marion County,1.7215810586844302
Marshall County,1.6434241197038255
Martin County,1.6323599999999998
Miami County,1.8102201552393273
Monroe County,1.700155692452239
Montgomery County,1.5214113580246906
Morgan County,1.7261911855104277
Newton County,1.4222896907216498
Noble County,1.6443843636363633
Ohio County,1.945643613445378
Orange County,1.655972004415011
Owen County,1.7872312842712845
Parke County,1.7054163876967097
Perry County,1.6061830915775401
Pike County,1.63236
Porter County,1.5257653495415846
Posey County,1.8828071324422844
Pulaski County,1.482928187579214
Putnam County,1.7636946018893387
Randolph County,1.7035766183574876
Ripley County,1.7188839649122807
Rush County,1.6412519305019304
Scott County,1.6963050920117106
Shelby County,1.695497495049505
Spencer County,1.6568026481481484
St Joseph County,1.7710480192070164
St. Joseph County,1.7650099999999997
Starke County,1.549691971252567
Steuben County,1.5866425646551723
Sullivan County,1.8642740050743025
Switzerland County,1.9366672897196262
Tippecanoe County,1.5822143082713271
Tipton County,1.6202651148936171
Union County,1.8254875536480686
Vanderburgh County,1.7769663480392157
Vermillion County,1.822611161007667
Vigo County,1.8210968855030247
Wabash County,1.6900719124911787
Warren County,1.5573824861878451
Warrick County,1.7528741422075242
Washington County,1.6935463218820013
Wayne County,1.6900269010011122
Wells County,1.6980207799145304
White County,1.3528037053676991
Whitley County,1.6027220000000004
