county,poke_ratio
Allen County,1.5548478491704372
Anderson County,1.5681443951612906
Atchison County,1.5079621186440677
Barber County,1.5457228282828284
Barton County,1.648631846476657
Bourbon County,1.6325540756558878
Brown County,1.6113835820895523
Butler County,1.527288180815161
Chautauqua County,1.6438164766839378
Cherokee County,1.6542338407494146
Cheyenne County,1.7994230894308942
Clark County,1.6424660526315789
Clay County,1.5393708947745166
Cloud County,1.5324212307692309
Coffey County,1.808181511789182
Cowley County,1.5123247418165053
Crawford County,1.6924081028172608
Dickinson County,1.61492224852071
Doniphan County,1.6419047972972973
Douglas County,1.622004713935886
Edwards County,1.551936375
Elk County,1.6295732608695654
Ellis County,1.5502838525718912
Ellsworth County,1.5622441988416989
Finney County,1.6693758341416103
Ford County,1.5142486979441225
Franklin County,1.5130795369237047
Geary County,1.616613610315186
Gove County,1.5646310199999998
Graham County,1.4162054146341463
Grant County,1.5866475982042652
Gray County,1.5157178048780489
Greeley County,1.516279367816092
Greenwood County,1.634789423076923
Hamilton County,1.8529182442748091
Harper County,1.5125754474708175
Harvey County,1.5018003561980349
Haskell County,1.63745
Jackson County,1.869550083102493
Jefferson County,1.834374323987539
Johnson County,1.621309385911855
Kearny County,1.5772446428571432
Kingman County,1.5956734393939394
Labette County,1.6685220928536701
Leavenworth County,1.6732362136374213
Lincoln County,1.49958
Linn County,1.653852173913044
Logan County,1.5556122666666667
Lyon County,1.7704936077419355
Marion County,1.5508966816816818
Marshall County,1.57991219123506
McPherson County,1.55386281185567
Meade County,1.5309800000000002
Miami County,1.6518788125582844
Mitchell County,1.5599606157112529
Montgomery County,1.6203643410987483
Morris County,1.7441581549815495
Morton County,1.62393875
Nemaha County,1.9980208018867924
Neosho County,1.6329326372977442
Ness County,1.5541843373493975
Norton County,1.353400474137931
Osage County,2.008455684818481
Osborne County,1.545372
Ottawa County,1.5142507317073168
Pawnee County,1.5991419098143238
Phillips County,1.487842839506173
Pottawatomie County,1.8616373452768729
Pratt County,1.5612094807370185
Reno County,1.5546793484827681
Republic County,1.564144549763033
Rice County,1.6215469028871392
Riley County,1.6434064238603296
Rooks County,1.5505527260458842
Russell County,1.6047517013086992
Saline County,1.5254014779071623
Scott County,1.4332430241935488
Sedgwick County,1.5274430048093421
Seward County,1.6185198488464596
Shawnee County,1.9443260044900441
Sherman County,1.6515824375000001
Smith County,1.5278184
Stafford County,1.6916080434782608
Stanton County,1.561871050583658
Stevens County,1.5374160784313724
Sumner County,1.553613772480134
Thomas County,1.457025234375
Trego County,1.57997
Wabaunsee County,1.9995243893129773
Washington County,1.5188831470588233
Wilson County,1.5829323714759533
Wyandotte County,1.6066322574914687
