county,poke_ratio
Acadia Parish,1.7077873050823984
Allen Parish,1.6945287155486222
Ascension Parish,1.5950745608702608
Assumption Parish,1.5438255131578944
Avoyelles Parish,1.6480482281980395
Beauregard Parish,1.7209630875436202
Bossier Parish,1.6807568767089236
Caddo Parish,1.6889788605206126
Calcasieu Parish,1.7727289769704833
Caldwell Parish,1.5985944852941174
Catahoula Parish,1.6564025178571429
Claiborne Parish,1.6548626050420168
Concordia Parish,1.7413571202531646
De Soto Parish,1.6791391326164873
East Baton Rouge Parish,1.5850609341069208
East Carroll Parish,1.5704032286023835
East Feliciana Parish,1.6506246504559272
Evangeline Parish,1.5733495450361603
Franklin Parish,1.6267094549929675
Grant Parish,1.6873601734104047
Iberia Parish,1.603022063532081
Iberville Parish,1.601377406669985
Jackson Parish,1.6859474198988196
Jefferson Davis Parish,1.7160659301278587
Jefferson Parish,1.6873584472404919
La Salle Parish,1.6412036254564424
Lafayette Parish,1.6802355256058252
Lafourche Parish,1.6210254745782164
Lincoln Parish,1.6960449399533968
Livingston Parish,1.5855948623655916
Madison Parish,1.6796182352941174
Morehouse Parish,1.6128111876438984
Natchitoches Parish,1.6284276209135689
Orleans Parish,1.7253354056512749
Ouachita Parish,1.6178082083646648
Plaquemines Parish,1.7969637396694216
Pointe Coupee Parish,1.5949206515151517
Rapides Parish,1.685982107509426
Red River Parish,1.6408097075138681
Richland Parish,1.5979085270541082
Sabine Parish,1.6165081587725152
St. Bernard Parish,1.6308984166666667
St. Charles Parish,1.671316328488372
St. Helena Parish,1.5848181514084507
St. James Parish,1.6743729021497402
St. John the Baptist Parish,1.7428904206500955
St. Landry Parish,1.6496858248410857
St. Martin Parish,1.6230962834489595
St. Mary Parish,1.563951686414254
St. Tammany Parish,1.6901249632679136
St. Landry Parish,1.627121214285714
Tangipahoa Parish,1.66190665329575
Terrebonne Parish,1.6437018015665794
Union Parish,1.7600848847926267
Vermilion Parish,1.7596181313955213
Vernon Parish,1.699180101326181
Washington Parish,1.5883460338616713
Webster Parish,1.6846371193813436
West Baton Rouge Parish,1.5496924577861162
West Carroll Parish,1.519119542782495
West Feliciana Parish,1.568106275252525
Winn Parish,1.6462758793264733
