county,poke_ratio
Aitkin County,1.3865299999999998
Anoka County,1.6070376330798481
Becker County,1.2058738372620128
Beltrami County,1.2157946190001425
Benton County,1.5227303289473684
Big Stone County,1.7614486440677968
Blue Earth County,1.3248155787102227
Brown County,1.4938684444444446
Carlton County,1.5037389977728282
Carver County,1.575583005547151
Cass County,1.2355508785529716
Chippewa County,1.5152029874213835
Chisago County,1.3996648936170213
Clay County,1.1914408456486039
Clearwater County,1.2976174074074074
Cook County,1.3631
Cottonwood County,1.7876943031536117
Crow Wing County,1.5042898365758754
Dakota County,1.6049238529411767
Douglas County,1.2243455165394401
Faribault County,1.7650099999999997
Fillmore County,1.25
Freeborn County,1.25
Goodhue County,1.4796174795081967
Hennepin County,1.6647191265741728
Houston County,1.2455199401197603
Hubbard County,1.39391396884273
Isanti County,1.3792139130434782
Itasca County,1.3874874465811964
Jackson County,1.8036180116110305
Kanabec County,1.6085200000000002
Kandiyohi County,1.570571570773032
Kittson County,1.12778
Koochiching County,1.5818042900302112
Lac qui Parle County,1.7793889808917196
Lake County,1.3631
Lake of the Woods County,1.12778
Le Sueur County,1.5307698736462094
Lincoln County,1.7758992727272729
Lyon County,1.6435520914542732
Mahnomen County,1.268411111111111
Marshall County,1.12778
Martin County,1.4692592959295931
McLeod County,1.48664
Meeker County,1.629880342857143
Mille Lacs County,1.6112910472279263
Morrison County,1.6184774834437086
Mower County,1.262969253438114
Murray County,1.80505
Nicollet County,1.321693241895262
Nobles County,1.6627682023047377
Norman County,1.1525868508287291
Olmsted County,1.6501837115932072
Otter Tail County,1.2234181666666668
Pennington County,1.1313987392550142
Pine County,1.637016630824373
Pipestone County,1.7713851181102362
Polk County,1.1757064768683276
Pope County,1.6085200000000004
Ramsey County,1.7690100135480495
Redwood County,1.5857067696629215
Renville County,1.7761454146341464
Rice County,1.3262850236966826
Rock County,1.80505
Roseau County,1.3017194117647057
Scott County,1.4651530046948356
Sherburne County,1.676416300527241
St. Louis County,1.3971090363809628
Stearns County,1.6554130579100061
Steele County,1.368134363207547
Stevens County,1.416224
Swift County,1.7432578440366973
Todd County,1.4713914010989007
Traverse County,1.12778
Wabasha County,1.3787381132075471
Wadena County,1.6085200000000004
Waseca County,1.25
Washington County,1.6813774939387265
Watonwan County,1.25
Winona County,1.4996000188679246
Wright County,1.536615639175258
Yellow Medicine County,1.783747142857143
