county,poke_ratio
Adair County,1.5790639675790588
Andrew County,1.6087083706467662
Atchison County,1.5438404779411765
Audrain County,1.6566533253156943
Barry County,1.5728936479677524
Barton County,1.5425244710578843
Bates County,1.64361252
Benton County,1.6213886808070355
Boone County,1.7281111933333335
Buchanan County,1.5534857687439145
Butler County,1.651057856691476
Caldwell County,1.5766358495821728
Callaway County,1.742430903881219
Camden County,1.5671374088553507
Cape Girardeau County,1.5668225342085333
Carroll County,1.5526206759906758
Carter County,1.805344522546419
Cass County,1.6163792372814925
Cedar County,1.6111568303571429
Chariton County,1.7458998397863816
Christian County,1.613787062368183
Clark County,1.5564910374639769
Clay County,1.5734995637866889
Clinton County,1.539041234463277
Cole County,1.7220549070365667
Cooper County,1.6988787964989058
Crawford County,1.560338486987208
Dade County,1.5832248630136985
Dallas County,1.598332970711297
Daviess County,1.5650441366906476
DeKalb County,1.518580551724138
Dent County,1.5732633549582944
Douglas County,1.5979647412587412
Dunklin County,1.6698039697743718
Franklin County,1.5036987500990102
Gasconade County,1.626647998965874
Gentry County,1.4985196519721575
Greene County,1.6856179931284596
Grundy County,1.5714155760368667
Harrison County,1.5559114285714286
Henry County,1.671340135704258
Hickory County,1.6355372307692306
Holt County,1.5330695762711866
Howard County,1.676340786026201
Howell County,1.7152812632491812
Iron County,1.8092487413394918
Jackson County,1.6231856022312676
Jasper County,1.5975311778290993
Jefferson County,1.5452302958389015
Johnson County,1.5931972018622416
Knox County,1.6120088955223881
Laclede County,1.6137673098919718
Lafayette County,1.5680053795153177
Lawrence County,1.6469829098805644
Lewis County,1.786965905118602
Lincoln County,1.6108501211815198
Linn County,1.7522577486910993
Livingston County,1.5403341718266255
Macon County,1.7215918538622128
Madison County,1.6149203954399716
Maries County,1.603604259927798
Marion County,1.4841721415589662
McDonald County,1.5309551387645481
Mercer County,1.5714428913738019
Miller County,1.666894902152642
Mississippi County,1.7074975892206845
Moniteau County,1.7407522748815165
Monroe County,1.4756195217391301
Montgomery County,1.6840407795698924
Morgan County,1.6071301594331264
New Madrid County,1.8707632769556024
Newton County,1.6155445719495711
Nodaway County,1.5031447783783785
Osage County,1.724885035714286
Ozark County,1.5759
Pemiscot County,1.5563093835864064
Perry County,1.7223243703703701
Pettis County,1.6041070169942087
Phelps County,1.5827126865671641
Pike County,1.5368050666666666
Platte County,1.54523501509374
Polk County,1.5543561990355106
Pulaski County,1.4203721901590827
Putnam County,1.5618915
Ralls County,1.4735869276511395
Randolph County,1.7234937736911242
Ray County,1.5052745317220544
Reynolds County,1.7876913399857446
Ripley County,1.728227395672334
Saline County,1.5540283315086492
Schuyler County,1.5629352631578948
Scotland County,1.6897119815668205
Scott County,1.7613914170832425
Shannon County,1.7533129418103448
Shelby County,1.6000763265306122
St. Charles County,1.6014830063291141
St. Clair County,1.553123244147157
St. Francois County,1.4889694242928453
St. Louis City,1.5521711978411612
St. Louis County,1.5850838964176739
Ste. Genevieve County,1.4339973894736844
Stoddard County,1.7188592534942821
Stone County,1.5220047484276729
Sullivan County,1.5700511518324607
Taney County,1.64206487420539
Texas County,1.5696562920327173
Vernon County,1.547286822429907
Warren County,1.564088045018758
Washington County,1.531692823191434
Wayne County,1.6210505482134117
Webster County,1.592138887070376
Worth County,1.5166503823529414
Wright County,1.6281817972350225
