county,poke_ratio
Adams County,1.817706830439601
Alcorn County,1.5944975205479448
Amite County,1.7125210855263162
Attala County,1.5871454559573996
Benton County,1.5518463586956521
Bolivar County,1.476532190408526
Calhoun County,1.5947592155369388
Chickasaw County,1.5380961834561837
Choctaw County,1.6041077813504823
Claiborne County,1.6406497900262467
Clarke County,1.6706482052364864
Clay County,1.6425453634085214
Coahoma County,1.5747367866666664
Copiah County,1.6636699116161615
Covington County,1.8013304697186459
DeSoto County,1.5422388195364538
Forrest County,1.785859099710134
Franklin County,1.8039786469673407
George County,1.6606956486117432
Greene County,1.6202162843488646
Grenada County,1.527517953422724
Hancock County,1.621124201702347
Harrison County,1.671115112397957
Hinds County,1.6786972372748248
Holmes County,1.627670739611132
Humphreys County,1.6062540293356342
Itawamba County,1.6600353097345133
Jackson County,1.680131321465252
Jasper County,1.7307726362179487
Jefferson County,1.7030642066420663
Jefferson Davis County,1.6552096075894784
Jones County,1.719878508153914
Kemper County,1.5806124291497976
Lafayette County,1.5413002731544159
Lamar County,1.7726393103901221
Lauderdale County,1.6067908304779082
Lawrence County,1.6498423594936709
Leake County,1.5221109126984125
Lee County,1.6567632965029557
Leflore County,1.6306566709095116
Lincoln County,1.6555509455010975
Lowndes County,1.612898775523105
Madison County,1.6640358490566036
Marion County,1.7504327559937263
Marshall County,1.4888188092431032
Monroe County,1.6484118237749945
Montgomery County,1.6581112394548998
Neshoba County,1.5465178771929826
Newton County,1.5711674681393373
Noxubee County,1.6667065760869562
Oktibbeha County,1.6416889977728286
Panola County,1.5659840191182768
Pearl River County,1.6839187876978203
Perry County,1.723237281303602
Pike County,1.7196461650750339
Pontotoc County,1.5641359848484848
Prentiss County,1.5482029792243766
Quitman County,1.5913334230194318
Rankin County,1.62646878012685
Scott County,1.6036423513594265
Sharkey County,1.4597843819042609
Simpson County,1.732212760396039
Smith County,1.5340404270833332
Stone County,1.741126485328058
Sunflower County,1.559386818181818
Tallahatchie County,1.611245481033535
Tate County,1.5900752241324752
Tippah County,1.5706057997054492
Tishomingo County,1.6101946269132652
Tunica County,1.557521763485477
Union County,1.5763574328358207
Walthall County,1.7263215377268386
Warren County,1.6347912616624258
Washington County,1.5743717266694903
Wayne County,1.7345448682926832
Webster County,1.6870523163841806
Wilkinson County,1.6892269606448553
Winston County,1.6260305045278136
Yalobusha County,1.5751099646643107
Yazoo County,1.6746037851239668
