county,poke_ratio
Adair County,1.7426291846361186
Alfalfa County,1.7039513559322033
Atoka County,1.6476728228476822
Beaver County,1.6632716883116885
Beckham County,1.6674742712842712
Blaine County,1.6904767213114753
Bryan County,1.6868230003653637
Caddo County,1.6478495614541258
Canadian County,1.7126094896331738
Carter County,1.635743842545639
Cherokee County,1.8121175351699885
Choctaw County,1.6504375531173807
Cimarron County,1.6599294444444443
Cleveland County,1.7038790751694803
Coal County,1.6951170981038748
Comanche County,1.6703489087643677
Craig County,1.8606910384019288
Creek County,1.7042119395080615
Custer County,1.7001765939597313
Delaware County,1.6758857385298471
Dewey County,1.6516870588235295
Ellis County,1.6295190909090909
Garfield County,1.675799818875119
Garvin County,1.6684232713256242
Grady County,1.6755680788485607
Harmon County,1.7193912068965518
Harper County,1.7075450458715598
Haskell County,1.6743935270270272
Hughes County,1.6882954077669903
Jackson County,1.70147896539548
Jefferson County,1.6653770588235293
Johnston County,1.6887795406698567
Kay County,1.6838696595238096
Kingfisher County,1.6992643155062226
Kiowa County,1.6177785879120878
Latimer County,1.6972282684824902
Le Flore County,1.6317907022380795
Lincoln County,1.6854536741300243
Logan County,1.7385048527349227
Love County,1.6063426706231458
Major County,1.6788572727272728
Marshall County,1.7099045615731783
Mayes County,1.6879084292003979
McClain County,1.6870694215210353
McCurtain County,1.6740410183252146
McIntosh County,1.7240131533269045
Murray County,1.6733092853389386
Muskogee County,1.6901862949346405
Noble County,1.6969272467532468
Nowata County,1.6348745411764707
Okfuskee County,1.634514151376147
Oklahoma County,1.7221958658918777
Okmulgee County,1.6682129360694558
Osage County,1.6549615997541989
Ottawa County,1.7105931540546175
Pawnee County,1.698901482649842
Payne County,1.8505244962413605
Pittsburg County,1.940273651060256
Pontotoc County,1.7025763715247035
Pottawatomie County,1.7063165141309626
Pushmataha County,1.654855987804878
Roger Mills County,1.653945223880597
Rogers County,1.6917791078528828
Seminole County,1.6766552243079862
Sequoyah County,1.6791916797257591
Stephens County,1.634142387837838
Texas County,1.6782177734753148
Tillman County,1.6757892391304348
Tulsa County,1.7694127634647274
Wagoner County,1.7344722693208432
Washington County,1.6493256850897462
Washita County,1.6605561776061775
Woods County,1.6702778947368422
Woodward County,1.6779273014678207
