county,poke_ratio
Baker County,1.6704142763324072
Benton County,1.763379056255764
Clackamas County,1.624558575086007
Clatsop County,1.5920964092429313
Columbia County,1.629872188940092
Coos County,1.7810653746714198
Crook County,1.6061008103130758
Curry County,1.571875849303136
Deschutes County,1.6127199275071826
Douglas County,1.6157530683633559
Grant County,1.5709395000000002
Harney County,1.5908192073170733
Hood River County,1.5977921019108279
Jackson County,1.5055853401776258
Jefferson County,1.6520911462450596
Josephine County,1.6081867429714414
Klamath County,1.6182428367378283
Lake County,1.5787809302325584
Lane County,1.6127717628499312
Lincoln County,1.6550623018120045
Linn County,1.6742964144302683
Malheur County,1.6599936417141803
Marion County,1.606236290240424
Morrow County,1.6592459726962459
Multnomah County,1.6371373681521069
Polk County,1.58529302278481
Tillamook County,1.5870406649616366
Umatilla County,1.6608399568062828
Union County,1.6686042987249547
Wallowa County,1.621265046113307
Wasco County,1.64321468547913
Washington County,1.6391357530418331
Yamhill County,1.604987067011978
