county,poke_ratio
Anderson County,1.6777851901461767
Bedford County,1.6283317627494458
Benton County,1.6172676677067082
Bledsoe County,1.6037863686382392
Blount County,1.7106288426558878
Bradley County,1.6347882507867344
Campbell County,1.6603219222952776
Cannon County,1.6235716980376451
Carroll County,1.6123535113650476
Carter County,1.6228264610226324
Cheatham County,1.6357188656951558
Chester County,1.5797603711711712
Claiborne County,1.6620939839750726
Clay County,1.6496312169312168
Cocke County,1.6571539166958351
Coffee County,1.6246895292394603
Crockett County,1.599130917721519
Cumberland County,1.6477879258618202
Davidson County,1.650574863644739
DeKalb County,1.6079236438529783
Decatur County,1.5619466920609462
Dickson County,1.6276054336669232
Dyer County,1.6410270102080877
Fayette County,1.5885485861917326
Fentress County,1.6124596129707112
Franklin County,1.6274209863631703
Gibson County,1.6023908981132073
Giles County,1.6374255432737537
Grainger County,1.6537071719457013
Greene County,1.6463167803560712
Grundy County,1.6067973981191221
Hamblen County,1.6662391205692801
Hamilton County,1.6169828553353016
Hardeman County,1.635163424309205
Hardin County,1.590696131611316
Hawkins County,1.6784546275678216
Haywood County,1.5663250816326528
Henderson County,1.5950902983465134
Henry County,1.6221588758492895
Hickman County,1.6283955747126437
Houston County,1.624447144708423
Humphreys County,1.6122145105566217
Jackson County,1.6237172544642857
Jefferson County,1.6453330333333331
Johnson County,1.56327
Knox County,1.6610676083467093
Lake County,1.6131823609226597
Lauderdale County,1.6630109635416668
Lawrence County,1.6412651351351353
Lewis County,1.6165301815352695
Lincoln County,1.6278378976274166
Loudon County,1.6349384409698615
Macon County,1.6339880749707147
Madison County,1.6399440299666304
Marion County,1.620182635119462
Marshall County,1.6242387596899224
Maury County,1.6428917198153783
McMinn County,1.6525393162393165
McNairy County,1.5451036691142725
Meigs County,1.6495404420113546
Monroe County,1.6427733919902916
Montgomery County,1.6451446090744954
Moore County,1.6109290573012938
Morgan County,1.6473864994255079
Obion County,1.6368529666190412
Overton County,1.616819070331447
Perry County,1.5965932062055594
Pickett County,1.6126197169143666
Polk County,1.6064475991649272
Putnam County,1.6346333037586704
Rhea County,1.6199863189355956
Roane County,1.6595290236530877
Robertson County,1.6556833787751677
Rutherford County,1.6427114166298653
Scott County,1.5950911430451955
Sequatchie County,1.6135211627906976
Sevier County,1.6498989673535542
Shelby County,1.6329104816830664
Smith County,1.6386124088013896
Stewart County,1.6573624588086187
Sullivan County,1.6664073732091167
Sumner County,1.6467487382289598
Tipton County,1.6190903889031265
Trousdale County,1.6268875405405403
Unicoi County,1.6211823317683882
Union County,1.6444987168922895
Van Buren County,1.5933335802469137
Warren County,1.6272636626643795
Washington County,1.6589578876286744
Wayne County,1.5805374165953807
Weakley County,1.6601559970638609
White County,1.636740417853751
Williamson County,1.6546005654231455
Wilson County,1.6497070297333825
