county,poke_ratio
Anderson County,1.6949736635986286
Andrews County,1.6142003097345134
Angelina County,1.7254314915631488
Aransas County,1.6370348738863094
Armstrong County,1.6473444730679156
Atascosa County,1.728381525489436
Austin County,1.6615194576142613
Bailey County,1.6914018983807928
Bandera County,1.604911715210356
Bastrop County,1.6750317934782606
Baylor County,1.6058995790200137
Bee County,1.7348317393306723
Bell County,1.705272032848575
Bexar County,1.6937706046150898
Blanco County,1.6867233789062501
Bosque County,1.6926996800903276
Bowie County,1.7709227239925693
Brazoria County,1.6533161150280087
Brazos County,1.725183366134558
Brewster County,1.6081567615658365
Brooks County,1.5081950412654745
Brown County,1.641183663827522
Burleson County,1.7068468010752686
Burnet County,1.6631350231653075
Caldwell County,1.7127118584905658
Calhoun County,1.7095764934148636
Callahan County,1.6679622597137018
Cameron County,1.6122582802324286
Camp County,1.6687740940525588
Carson County,1.5496252822580643
Cass County,1.7671685659287772
Castro County,1.7130656756756757
Chambers County,1.6530778585365853
Cherokee County,1.7165561405835545
Childress County,1.6902677179176753
Clay County,1.618322580645161
Cochran County,1.7194749006622518
Coleman County,1.6106505095541401
Collin County,1.589615640275117
Collingsworth County,1.67277734439834
Colorado County,1.7356923140125486
Comal County,1.6725654362396292
Comanche County,1.6746782177514794
Concho County,1.7320462857142858
Cooke County,1.6080314047373843
Coryell County,1.679392932144626
Crane County,1.7030854981549814
Crockett County,1.61294
Crosby County,1.718676720183486
Dallam County,1.6179834032258062
Dallas County,1.6044661646552223
Dawson County,1.7277957208448118
DeWitt County,1.696506741026161
Deaf Smith County,1.673711415850401
Denton County,1.5966049958471353
Dimmit County,1.6893160891719747
Donley County,1.6085145316804406
Eastland County,1.6261290684178376
Ector County,1.6716702792280747
Edwards County,1.6376405434782608
El Paso County,1.7110793995083033
Ellis County,1.5721464432297974
Erath County,1.6566699176782476
Falls County,1.902087690391459
Fannin County,1.5759751869631127
Fayette County,1.8852262970126799
Fisher County,1.5449707494145197
Floyd County,1.6832360625814864
Fort Bend County,1.6601054195897642
Franklin County,1.78434811443433
Freestone County,1.7187583135257498
Frio County,1.6821935458879618
Gaines County,1.7374475
Galveston County,1.6912762619351545
Garza County,1.6481805957446807
Gillespie County,1.6617936921458625
Goliad County,1.711948580931264
Gonzales County,1.6599277607585705
Gray County,1.6279627213886434
Grayson County,1.6224891515673892
Gregg County,1.7420711274849536
Grimes County,1.7667416029684602
Guadalupe County,1.5919685856573704
Hale County,1.687204770382359
Hamilton County,1.695678942766296
Hansford County,1.584267513464991
Hardeman County,1.6468008412197686
Hardin County,1.5085208940761945
Harris County,1.6747476941820216
Harrison County,1.8659188492116963
Haskell County,1.6159406185567011
Hays County,1.701601837777885
Hemphill County,1.662103175313059
Henderson County,1.7003936389908616
Hidalgo County,1.5534166891793755
Hill County,1.7113379310344825
Hockley County,1.7097238315060588
Hood County,1.606957632978723
Hopkins County,1.6502001616298299
Houston County,1.7477319961177613
Howard County,1.639534649344097
Hunt County,1.6072984862385322
Hutchinson County,1.6169136623462943
Jack County,1.7109674767596281
Jackson County,1.7386910687830686
Jasper County,1.6189630990907689
Jeff Davis County,1.6126983579638752
Jefferson County,1.5694066274409595
Jim Hogg County,1.6158073239436619
Jim Wells County,1.6539415020710706
Johnson County,1.5999829425015273
Jones County,1.7225632794457277
Karnes County,1.6760820833333332
Kaufman County,1.6700303668967147
Kendall County,1.6700285747534085
Kerr County,1.7075661302016463
Kimble County,1.6377100970873786
Kinney County,1.6231858203125
Kleberg County,1.6650882367122029
Knox County,1.651057777777778
La Salle County,1.7693303485987695
Lamar County,1.664006819634703
Lamb County,1.7726628388746801
Lampasas County,1.7099389274447947
Lavaca County,1.7525063036623818
Lee County,1.6535263198959689
Leon County,1.6354645229681979
Liberty County,1.6671049654518357
Limestone County,1.6637704271503804
Live Oak County,1.6816215025906736
Llano County,1.7790120456303165
Lubbock County,1.776087096530105
Lynn County,1.811301022383545
Madison County,1.8349951882578175
Marion County,1.7055341324392288
Martin County,1.6497763057324837
Matagorda County,1.712865271726119
Maverick County,1.6885801174628032
McCulloch County,1.7313759375000002
McLennan County,1.7037648066000226
Medina County,1.6335627185167345
Midland County,1.691735773506596
Milam County,1.8252670142857144
Mills County,2.31446
Mitchell County,1.7344725864661654
Montague County,1.61144693705823
Montgomery County,1.6478611133490118
Moore County,1.6428615472312702
Morris County,1.6192510160427807
Nacogdoches County,1.6212718948020388
Navarro County,1.699856742290316
Newton County,1.6155212864077673
Nolan County,1.6270365149136579
Nueces County,1.7049667344473038
Ochiltree County,1.623759534883721
Orange County,1.5625244131623777
Palo Pinto County,1.6174970948234157
Panola County,1.6983049834983495
Parker County,1.6365229844930729
Parmer County,1.682037561929596
Pecos County,1.6937002966841186
Polk County,1.6933893674008813
Potter County,1.6402009044459698
Presidio County,1.598394617117117
Rains County,1.60899
Randall County,1.6444434791802212
Reagan County,1.8119632727272725
Red River County,1.6775013129770997
Reeves County,1.7505725307557118
Refugio County,1.6779079587155963
Robertson County,1.7277097872340423
Rockwall County,1.6072877048884613
Runnels County,1.6680498324836128
Rusk County,1.668792342019544
Sabine County,1.640651099830795
San Augustine County,1.765242608695652
San Jacinto County,1.6639053171641789
San Patricio County,1.6609409244060478
San Saba County,1.998633111111111
Scurry County,1.7686151928251121
Shackelford County,1.6883841079812205
Shelby County,1.6896910666666665
Smith County,1.6830232622881416
Somervell County,1.6054347103559872
Starr County,1.461916486895161
Stephens County,1.6717992887624469
Stonewall County,1.6375679569892472
Sutton County,1.6290697777777778
Swisher County,1.678254511173184
Tarrant County,1.6119798985642209
Taylor County,1.715277385830785
Terry County,1.7245173910866298
Titus County,1.6805190444160965
Tom Green County,1.7081561707902704
Travis County,1.7175758007115687
Trinity County,1.7379389849108364
Tyler County,1.6895178267113449
Upshur County,1.690377196870926
Upton County,1.6222542045454547
Uvalde County,1.6950354101077054
Val Verde County,1.6636916108897746
Van Zandt County,1.6523273034498944
Victoria County,1.7454936351292065
Walker County,1.6700823079254432
Waller County,1.6323638321678322
Ward County,1.6378135783221976
Washington County,1.7058330020309722
Webb County,1.6134014667093242
Wharton County,1.6818900449236303
Wheeler County,1.7375576878612717
Wichita County,1.6242471619589904
Wilbarger County,1.6401399759326114
Willacy County,1.5750584445137152
Williamson County,1.6657082350920245
Wilson County,1.7222406302314133
Winkler County,1.639320898241206
Wise County,1.6042773732193731
Wood County,1.6597243398268398
Yoakum County,1.7380299999999997
Young County,1.6242049516270887
Zapata County,1.667956718963165
Zavala County,1.6320823655913979
