county,poke_ratio
Aleutians West Census Area,1.574004475703325
Anchorage Borough,1.5547756489489197
Bethel Census Area,1.6466328282828282
Bristol Bay Borough,1.5851300000000001
Dillingham Census Area,1.7044099999999995
Fairbanks North Star Borough,1.5597666238381631
Haines Borough,1.5877593150684932
Juneau Borough,1.587507347157669
Kenai Peninsula Borough,1.5601993465993467
Ketchikan Gateway Borough,1.573314275362319
Kodiak Island Borough,1.5137126338797813
Matanuska-Susitna Borough,1.5518362015292189
North Slope Borough,1.56287
Northwest Arctic Borough,1.5488399642218245
Prince of Wales-Outer Ketchikan Borough,1.5741047058823527
Sitka Borough,1.559169762282092
Southeast Fairbanks Census Area,1.5765305217391303
Valdez-Cordova Census Area,1.59143
Wrangell Borough,1.5117566666666666
