county,poke_ratio
Autauga County,1.6314150908991947
Baldwin County,1.5709921770042465
Barbour County,1.6310310345500685
Bibb County,1.6325193690851736
Blount County,1.6457569134923462
Bullock County,1.6576574358974359
Butler County,1.6293252315857185
Calhoun County,1.5253766300333897
Chambers County,1.639915366410037
Cherokee County,1.6526148841059605
Chilton County,1.6239609401709403
Choctaw County,1.5765396693579394
Clarke County,1.6356940827023876
Clay County,1.5836461403912543
Cleburne County,1.5957755223880596
Coffee County,1.630765338903394
Colbert County,1.648820456229633
Conecuh County,1.60344139899909
Covington County,1.5676570852782763
Crenshaw County,1.6425777216856892
Cullman County,1.6400597479694223
Dale County,1.6301666077552097
Dallas County,1.6388695671698834
DeKalb County,1.6276902014495844
Elmore County,1.6448498363906794
Escambia County,1.6184309603125642
Etowah County,1.6420898107863462
Fayette County,1.633100286445013
Franklin County,1.6028378789464506
Geneva County,1.6299777943868212
Greene County,1.6826568088467615
Hale County,1.7221671085714285
Henry County,1.5946749433555119
Houston County,1.6683982839180092
Jackson County,1.6341314328136598
Jefferson County,1.6389789767512
Lamar County,1.6350866871165641
Lauderdale County,1.6962916884747052
Lawrence County,1.5948341146953404
Lee County,1.7671587666420117
Limestone County,1.6941752493896054
Lowndes County,1.6219107246376812
Macon County,1.6449961377245506
Madison County,1.6458388774053052
Marengo County,1.6401446165544211
Marion County,1.626999721865247
Marshall County,1.5922668329323972
Mobile County,1.6685701937036452
Monroe County,1.655210989168733
Montgomery County,1.6644545002325002
Morgan County,1.6473421480943486
Perry County,1.6718833466453675
Pickens County,1.646712243091537
Pike County,1.6378409477124183
Randolph County,1.5980767915763394
Russell County,1.5678158079210422
Shelby County,1.6238571008565477
St. Clair County,1.6221453179884369
Sumter County,1.6173813593749997
Talladega County,1.6279885967785965
Tallapoosa County,1.5917949488054608
Tuscaloosa County,1.6416811033733005
Walker County,1.6351536893788996
Washington County,1.6315247555129433
Wilcox County,1.6264882870022541
Winston County,1.627015186271128
