migrant_housing,county,
4,Arkansas County,
4,Ashley County,
0,Baxter County,
5,Benton County,
0,Boone County,
50,Bradley County,
1,Calhoun County,
0,Carroll County,
7,Chicot County,
5,Clark County,
0,Clay County,
8,Cleburne County,
1,Cleveland County,
2,Columbia County,
0,Conway County,
6,Craighead County,
0,Crawford County,
13,Crittenden County,
7,Cross County,
1,Dallas County,
10,Desha County,
2,Drew County,
14,Faulkner County,
2,Franklin County,
2,Fulton County,
4,Garland County,
1,Grant County,
0,Greene County,
1,Hempstead County,
0,Hot Spring County,
8,Howard County,
1,Independence County,
1,Izard County,
2,Jackson County,
9,Jefferson County,
2,Johnson County,
2,Lafayette County,
0,Lawrence County,
13,Lee County,
12,Lincoln County,
2,Little River County,
0,Logan County,
10,Lonoke County,
1,Madison County,
1,Marion County,
5,Miller County,
12,Mississippi County,
2,Monroe County,
5,Montgomery County,
2,Nevada County,
2,Newton County,
0,Ouachita County,
0,Perry County,
9,Phillips County,
3,Pike County,
3,Poinsett County,
1,Polk County,
5,Pope County,
2,Prairie County,
15,Pulaski County,
0,Randolph County,
9,St. Francis County,
0,Saline County,
3,Scott County,
0,Searcy County,
9,Sebastian County,
0,Sevier County,
0,Sharp County,
0,Stone County,
6,Union County,
6,Van Buren County,
10,Washington County,
16,White County,
1,Woodruff County,
5,Yell County,
