migrant_housing,county,
14,Alameda County, 06, 001
0,Alpine County, 06, 003
1,Amador County, 06, 005
6,Butte County, 06, 007
1,Calaveras County, 06, 009
7,Colusa County, 06, 011
16,Contra Costa County, 06, 013
20,Del Norte County, 06, 015
6,El Dorado County, 06, 017
227,Fresno County, 06, 019
5,Glenn County, 06, 021
15,Humboldt County, 06, 023
30,Imperial County, 06, 025
0,Inyo County, 06, 027
181,Kern County, 06, 029
22,Kings County, 06, 031
20,Lake County, 06, 033
13,Lassen County, 06, 035
109,Los Angeles County, 06, 037
76,Madera County, 06, 039
22,Marin County, 06, 041
0,Mariposa County, 06, 043
30,Mendocino County, 06, 045
147,Merced County, 06, 047
70,Modoc County, 06, 049
21,Mono County, 06, 051
51,Monterey County, 06, 053
7,Napa County, 06, 055
12,Nevada County, 06, 057
3,Orange County, 06, 059
9,Placer County, 06, 061
2,Plumas County, 06, 063
84,Riverside County, 06, 065
53,Sacramento County, 06, 067
13,San Benito County, 06, 069
69,San Bernardino County, 06, 071
61,San Diego County, 06, 073
5,San Francisco County, 06, 075
76,San Joaquin County, 06, 077
50,San Luis Obispo County, 06, 079
4,San Mateo County, 06, 081
23,Santa Barbara County, 06, 083
50,Santa Clara County, 06, 085
100,Santa Cruz County, 06, 087
12,Shasta County, 06, 089
1,Sierra County, 06, 091
14,Siskiyou County, 06, 093
39,Solano County, 06, 095
47,Sonoma County, 06, 097
67,Stanislaus County, 06, 099
28,Sutter County, 06, 101
6,Tehama County, 06, 103
5,Trinity County, 06, 105
43,Tulare County, 06, 107
1,Tuolumne County, 06, 109
12,Ventura County, 06, 111
76,Yolo County, 06, 113
18,Yuba County, 06, 115
