county,poke_ratio
Appling County,1.5722193262987012
Bacon County,1.5792056997084551
Baker County,1.7956553333333332
Baldwin County,1.6067052602100351
Banks County,1.7009628347183747
Barrow County,1.6853864306698
Bartow County,1.6567666692639653
Ben Hill County,1.6792170717544592
Berrien County,1.6317980147058821
Bibb County,1.6535067150805187
Bleckley County,1.6218768342644323
Brantley County,1.5416052885187388
Brooks County,1.638166279650437
Bryan County,1.5920099429838457
Bulloch County,1.614478059486373
Burke County,1.6371758329746016
Butts County,1.647654944609565
Calhoun County,1.707598977987421
Camden County,1.6312330923793186
Candler County,1.6646217559153176
Carroll County,1.6554295585621435
Catoosa County,1.6303410836747896
Charlton County,1.4978828600000003
Chatham County,1.6173017452179057
Chattahoochee County,1.6747889454209066
Chattooga County,1.6386697083775184
Cherokee County,1.6692683905895895
Clarke County,1.6645658322243702
Clay County,1.6497536828963797
Clayton County,1.7040457100062247
Clinch County,1.6035718604651161
Cobb County,1.6883087087074415
Coffee County,1.6539178606290672
Colquitt County,1.4869883276206797
Columbia County,1.4863128861083892
Cook County,1.644073396456933
Coweta County,1.6459041449004976
Crawford County,1.6362177372262774
Crisp County,1.7602116271409751
Dade County,1.5936367624020886
Dawson County,1.5999841329769462
Decatur County,1.682285271966527
DeKalb County,1.697610069395759
Dodge County,1.5371285804540966
Dooly County,1.625681485714286
Dougherty County,1.698681790557019
Douglas County,1.667262589428724
Early County,1.6390224273504275
Effingham County,1.5827646158574062
Elbert County,1.6531769995460734
Emanuel County,1.637126132649792
Evans County,1.6828220904977376
Fannin County,1.620951121874712
Fayette County,1.6470558866818847
Floyd County,1.662431628032004
Forsyth County,1.6620215230800863
Franklin County,1.6108791089965397
Fulton County,1.6778512264953176
Gilmer County,1.639359593042337
Glynn County,1.5528730864547862
Gordon County,1.6247481151219516
Grady County,1.663454499677211
Greene County,1.6065008474987859
Gwinnett County,1.663024374128886
Habersham County,1.6511959391798496
Hall County,1.6563432824166426
Hancock County,1.6174399999999998
Haralson County,1.6007566772151898
Harris County,1.6206235897435897
Hart County,1.6456797976391233
Heard County,1.6041975355450238
Henry County,1.6647610648560058
Houston County,1.5587497630434783
Irwin County,1.6628458661417325
Jackson County,1.6332150398074432
Jasper County,1.6086901301518435
Jeff Davis County,1.588952220289855
Jefferson County,1.6530433913250715
Jenkins County,1.526864577656676
Johnson County,1.6812024886260235
Jones County,1.632312844744455
Lamar County,1.734526024051109
Lanier County,1.651555278969957
Laurens County,1.6433076526933221
Lee County,1.695555470139771
Liberty County,1.669668226368159
Lincoln County,1.7102671550671555
Long County,1.6960971264367817
Lowndes County,1.672428084760595
Lumpkin County,1.6521000568181818
Macon County,1.794764665856622
Madison County,1.649542258635961
McDuffie County,1.6134856029776676
McIntosh County,1.5651343930041153
Meriwether County,1.6658469181659894
Miller County,1.6372054814108676
Mitchell County,1.61340069241012
Monroe County,1.6677266480891721
Montgomery County,1.6495725925925924
Morgan County,1.8009198611111112
Murray County,1.6328741714069017
Muscogee County,1.6306640815641409
Newton County,1.6685775033863264
Oconee County,1.5942093769332746
Oglethorpe County,1.6445041655172412
Paulding County,1.64321064306894
Peach County,1.629337612612613
Pickens County,1.6511887868093085
Pierce County,1.6398424709233328
Pike County,1.622938382352941
Polk County,1.6513104988558354
Pulaski County,1.6932226186579378
Putnam County,1.6127333462350455
Quitman County,1.589752557319224
Rabun County,1.7260812935507788
Randolph County,1.6977648138957815
Richmond County,1.6691263954369664
Rockdale County,1.6662934823937063
Schley County,1.6452117216117217
Screven County,1.5190126412918108
Seminole County,1.6247825
Spalding County,1.6637275932542517
Stephens County,1.675297148464558
Sumter County,1.7450941346435906
Talbot County,1.6174399999999998
Taliaferro County,1.61744
Tattnall County,1.6000872762863536
Telfair County,1.671927548076923
Terrell County,1.699612590529248
Thomas County,1.66441849537037
Tift County,1.7034786192759364
Toombs County,1.71177855013941
Towns County,1.49161590228013
Treutlen County,1.6528202298850574
Troup County,1.6335929675998377
Turner County,1.6749151830985918
Union County,1.6025658896432806
Upson County,1.6961294080834424
Walker County,1.6154076258564187
Walton County,1.6589886358908714
Ware County,1.6003282815027866
Warren County,1.6245967372881354
Washington County,1.6635723395967
Wayne County,1.4789961179867988
Wheeler County,1.6567135766423358
White County,1.649226075458392
Whitfield County,1.655370757619184
Wilcox County,1.904496484848485
Wilkes County,1.89777800472255
Wilkinson County,1.562208870967742
Worth County,1.678759075882795
