migrant_housing,county,
0,Adair County,19,001
0,Adams County,19,003
9,Allamakee County,19,005
0,Appanoose County,19,007
0,Audubon County,19,009
2,Benton County,19,011
1,Black Hawk County,19,013
2,Boone County,19,015
0,Bremer County,19,017
0,Buchanan County,19,019
0,Buena Vista County,19,021
0,Butler County,19,023
7,Calhoun County,19,025
0,Carroll County,19,027
0,Cass County,19,029
0,Cedar County,19,031
2,Cerro Gordo County,19,033
0,Cherokee County,19,035
0,Chickasaw County,19,037
0,Clarke County,19,039
0,Clay County,19,041
1,Clayton County,19,043
0,Clinton County,19,045
0,Crawford County,19,047
0,Dallas County,19,049
1,Davis County,19,051
0,Decatur County,19,053
2,Delaware County,19,055
2,Des Moines County,19,057
1,Dickinson County,19,059
2,Dubuque County,19,061
0,Emmet County,19,063
1,Fayette County,19,065
0,Floyd County,19,067
0,Franklin County,19,069
0,Fremont County,19,071
0,Greene County,19,073
0,Grundy County,19,075
0,Guthrie County,19,077
0,Hamilton County,19,079
0,Hancock County,19,081
1,Hardin County,19,083
1,Harrison County,19,085
0,Henry County,19,087
0,Howard County,19,089
1,Humboldt County,19,091
0,Ida County,19,093
0,Iowa County,19,095
0,Jackson County,19,097
2,Jasper County,19,099
3,Jefferson County,19,101
0,Johnson County,19,103
0,Jones County,19,105
0,Keokuk County,19,107
4,Kossuth County,19,109
0,Lee County,19,111
1,Linn County,19,113
0,Louisa County,19,115
0,Lucas County,19,117
0,Lyon County,19,119
0,Madison County,19,121
0,Mahaska County,19,123
0,Marion County,19,125
1,Marshall County,19,127
0,Mills County,19,129
1,Mitchell County,19,131
14,Monona County,19,133
0,Monroe County,19,135
0,Montgomery County,19,137
3,Muscatine County,19,139
0,O'Brien County,19,141
0,Osceola County,19,143
0,Page County,19,145
0,Palo Alto County,19,147
0,Plymouth County,19,149
0,Pocahontas County,19,151
7,Polk County,19,153
0,Pottawattamie County,19,155
1,Poweshiek County,19,157
1,Ringgold County,19,159
0,Sac County,19,161
2,Scott County,19,163
0,Shelby County,19,165
1,Sioux County,19,167
2,Story County,19,169
0,Tama County,19,171
0,Taylor County,19,173
0,Union County,19,175
0,Van Buren County,19,177
0,Wapello County,19,179
0,Warren County,19,181
0,Washington County,19,183
0,Wayne County,19,185
0,Webster County,19,187
0,Winnebago County,19,189
6,Winneshiek County,19,191
2,Woodbury County,19,193
0,Worth County,19,195
0,Wright County,19,197
