migrant_housing,county,
0,Adams County,17,001
0,Alexander County,17,003
1,Bond County,17,005
0,Boone County,17,007
0,Brown County,17,009
1,Bureau County,17,011
1,Calhoun County,17,013
0,Carroll County,17,015
0,Cass County,17,017
36,Champaign County,17,019
1,Christian County,17,021
0,Clark County,17,023
2,Clay County,17,025
0,Clinton County,17,027
3,Coles County,17,029
43,Cook County,17,031
1,Crawford County,17,033
0,Cumberland County,17,035
2,DeKalb County,17,037
1,De Witt County,17,039
1,Douglas County,17,041
11,DuPage County,17,043
1,Edgar County,17,045
0,Edwards County,17,047
2,Effingham County,17,049
2,Fayette County,17,051
0,Ford County,17,053
0,Franklin County,17,055
0,Fulton County,17,057
0,Gallatin County,17,059
0,Greene County,17,061
2,Grundy County,17,063
0,Hamilton County,17,065
1,Hancock County,17,067
0,Hardin County,17,069
0,Henderson County,17,071
2,Henry County,17,073
5,Iroquois County,17,075
4,Jackson County,17,077
0,Jasper County,17,079
0,Jefferson County,17,081
0,Jersey County,17,083
0,Jo Daviess County,17,085
0,Johnson County,17,087
1,Kane County,17,089
1,Kankakee County,17,091
0,Kendall County,17,093
0,Knox County,17,095
13,Lake County,17,097
7,LaSalle County,17,099
1,Lawrence County,17,101
1,Lee County,17,103
0,Livingston County,17,105
0,Logan County,17,107
0,McDonough County,17,109
3,McHenry County,17,111
0,McLean County,17,113
8,Macon County,17,115
0,Macoupin County,17,117
41,Madison County,17,119
4,Marion County,17,121
6,Marshall County,17,123
4,Mason County,17,125
0,Massac County,17,127
0,Menard County,17,129
0,Mercer County,17,131
3,Monroe County,17,133
2,Montgomery County,17,135
0,Morgan County,17,137
0,Moultrie County,17,139
1,Ogle County,17,141
14,Peoria County,17,143
6,Perry County,17,145
1,Piatt County,17,147
0,Pike County,17,149
1,Pope County,17,151
1,Pulaski County,17,153
0,Putnam County,17,155
9,Randolph County,17,157
0,Richland County,17,159
1,Rock Island County,17,161
34,St. Clair County,17,163
2,Saline County,17,165
6,Sangamon County,17,167
0,Schuyler County,17,169
0,Scott County,17,171
1,Shelby County,17,173
0,Stark County,17,175
0,Stephenson County,17,177
0,Tazewell County,17,179
1,Union County,17,181
1,Vermilion County,17,183
0,Wabash County,17,185
0,Warren County,17,187
1,Washington County,17,189
5,Wayne County,17,191
0,White County,17,193
2,Whiteside County,17,195
8,Will County,17,197
1,Williamson County,17,199
0,Winnebago County,17,201
1,Woodford County,17,203
