migrant_housing,county,
4,Adair County,21,001
8,Allen County,21,003
0,Anderson County,21,005
0,Ballard County,21,007
17,Barren County,21,009
5,Bath County,21,011
1,Bell County,21,013
1,Boone County,21,015
21,Bourbon County,21,017
1,Boyd County,21,019
4,Boyle County,21,021
7,Bracken County,21,023
0,Breathitt County,21,025
10,Breckinridge County,21,027
0,Bullitt County,21,029
1,Butler County,21,031
7,Caldwell County,21,033
35,Calloway County,21,035
0,Campbell County,21,037
3,Carlisle County,21,039
3,Carroll County,21,041
0,Carter County,21,043
7,Casey County,21,045
28,Christian County,21,047
3,Clark County,21,049
1,Clay County,21,051
4,Clinton County,21,053
0,Crittenden County,21,055
0,Cumberland County,21,057
13,Daviess County,21,059
2,Edmonson County,21,061
1,Elliott County,21,063
1,Estill County,21,065
27,Fayette County,21,067
12,Fleming County,21,069
2,Floyd County,21,071
6,Franklin County,21,073
0,Fulton County,21,075
2,Gallatin County,21,077
4,Garrard County,21,079
6,Grant County,21,081
27,Graves County,21,083
1,Grayson County,21,085
21,Green County,21,087
1,Greenup County,21,089
1,Hancock County,21,091
9,Hardin County,21,093
0,Harlan County,21,095
6,Harrison County,21,097
9,Hart County,21,099
1,Henderson County,21,101
9,Henry County,21,103
0,Hickman County,21,105
1,Hopkins County,21,107
0,Jackson County,21,109
15,Jefferson County,21,111
11,Jessamine County,21,113
1,Johnson County,21,115
1,Kenton County,21,117
1,Knott County,21,119
0,Knox County,21,121
0,Larue County,21,123
11,Laurel County,21,125
3,Lawrence County,21,127
1,Lee County,21,129
0,Leslie County,21,131
0,Letcher County,21,133
0,Lewis County,21,135
6,Lincoln County,21,137
0,Livingston County,21,139
20,Logan County,21,141
6,Lyon County,21,143
4,McCracken County,21,145
0,McCreary County,21,147
1,McLean County,21,149
4,Madison County,21,151
0,Magoffin County,21,153
8,Marion County,21,155
0,Marshall County,21,157
7,Martin County,21,159
6,Mason County,21,161
1,Meade County,21,163
0,Menifee County,21,165
5,Mercer County,21,167
3,Metcalfe County,21,169
25,Monroe County,21,171
2,Montgomery County,21,173
1,Morgan County,21,175
9,Muhlenberg County,21,177
9,Nelson County,21,179
2,Nicholas County,21,181
0,Ohio County,21,183
0,Oldham County,21,185
9,Owen County,21,187
0,Owsley County,21,189
9,Pendleton County,21,191
0,Perry County,21,193
4,Pike County,21,195
0,Powell County,21,197
2,Pulaski County,21,199
1,Robertson County,21,201
4,Rockcastle County,21,203
4,Rowan County,21,205
3,Russell County,21,207
11,Scott County,21,209
10,Shelby County,21,211
6,Simpson County,21,213
2,Spencer County,21,215
5,Taylor County,21,217
15,Todd County,21,219
13,Trigg County,21,221
2,Trimble County,21,223
0,Union County,21,225
3,Warren County,21,227
5,Washington County,21,229
2,Wayne County,21,231
1,Webster County,21,233
1,Whitley County,21,235
0,Wolfe County,21,237
19,Woodford County,21,239
