county,poke_ratio
Adair County,1.615103262045231
Allen County,1.6750664481327802
Anderson County,1.5433090321141838
Barren County,1.5770344311708422
Bath County,1.6651841616766472
Bell County,1.6178438522238165
Boone County,1.7831553745191222
Bourbon County,1.6303008823031333
Boyd County,1.795686722249204
Boyle County,1.6301166519418364
Bracken County,1.5758046547522337
Breathitt County,1.619241739449541
Breckinridge County,1.639365998552822
Bullitt County,1.6655930500391487
Butler County,1.68133843605547
Caldwell County,1.6725746871741396
Calloway County,1.6296625394637936
Campbell County,1.8649202860505114
Carlisle County,1.6766705928853753
Carroll County,1.6004467187499998
Carter County,1.7826366969303935
Casey County,1.59725186774942
Christian County,1.6410596274017404
Clark County,1.683070372951592
Clay County,1.6450597967317657
Clinton County,1.6610330508474576
Crittenden County,1.617528761682243
Cumberland County,1.6226430769230769
Daviess County,1.6185978788689441
Edmonson County,1.6744734503424656
Elliott County,1.673533515981735
Estill County,1.687688791982665
Fayette County,1.6951087213826805
Fleming County,1.6219429156519816
Floyd County,1.6447094241538835
Franklin County,1.609111308528026
Fulton County,1.6779435757575756
Gallatin County,1.6957115709969788
Garrard County,1.6512525849056603
Grant County,1.7211493577981654
Graves County,1.683582687735576
Grayson County,1.6551399856296027
Green County,1.6240564163822524
Greenup County,1.6203048730090401
Hancock County,1.5708479584120982
Hardin County,1.7224286369814605
Harlan County,1.7969222744360902
Harrison County,1.724988915079109
Hart County,1.6427219128693042
Henderson County,1.631540604982206
Henry County,1.5582511028917285
Hickman County,1.6263839917695475
Hopkins County,1.506176380228137
Jackson County,1.655511358490566
Jefferson County,1.681060469293464
Jessamine County,1.6460068524822697
Johnson County,1.6391980529401315
Kenton County,1.8546496166767863
Knott County,1.6887920561555074
Knox County,1.696760520651542
Larue County,1.7012820900321541
Laurel County,1.646344281163551
Lawrence County,1.675028194391815
Lee County,1.69277268707483
Leslie County,1.7381287858719647
Letcher County,1.684550215946844
Lewis County,1.568790842824601
Lincoln County,1.6277106688043976
Livingston County,1.6745421632329636
Logan County,1.6657891929583903
Lyon County,1.6737372226304188
Madison County,1.6677957044974123
Magoffin County,1.7109244516477582
Marion County,1.6652610586881476
Marshall County,1.6598690404040404
Martin County,1.6513043321917806
Mason County,1.658291983875612
McCracken County,1.6499541124822656
McCreary County,1.5401984409257004
McLean County,1.6056978479381445
Meade County,1.660364724390244
Menifee County,1.712265024187975
Mercer County,1.6644493303017776
Metcalfe County,1.585113051890941
Monroe County,1.5742074731522429
Montgomery County,1.7094671620411819
Morgan County,1.6685779710144926
Muhlenberg County,1.3775425133342005
Nelson County,1.6620794181874903
Nicholas County,1.5724774007220217
Ohio County,1.5373896726677576
Oldham County,1.5577922546620047
Owen County,1.7846357318952233
Pendleton County,1.8809936285714284
Perry County,1.7149795166091204
Pike County,1.7074357330314411
Powell County,1.6717277250177183
Pulaski County,1.6506385973676958
Rockcastle County,1.6828949258160233
Rowan County,1.6451802651464935
Russell County,1.5988187663398694
Scott County,1.6899478710178713
Shelby County,1.7022207066557107
Simpson County,1.6290237037842539
Spencer County,1.5892014615384613
Taylor County,1.64524308698727
Todd County,1.639373292307692
Trigg County,1.629318856382979
Trimble County,1.663990498753117
Union County,1.7303584037558684
Warren County,1.6614122365323831
Washington County,1.664535
Wayne County,1.6644237198360905
Webster County,1.581068421985816
Whitley County,1.7137253187420314
Wolfe County,1.6073813749060857
Woodford County,1.5843085403923225
