county,poke_ratio
Barnstable County,1.7392356495253567
Berkshire County,1.6842470857814336
Bristol County,1.8141586360073936
Dukes County,1.7352602037617555
Essex County,1.7818941632626737
Franklin County,1.674282045090287
Hampden County,1.6990286355581805
Hampshire County,1.628250502477449
Middlesex County,1.8349763015335927
Nantucket County,1.608035746753247
Norfolk County,1.7604159292422294
Plymouth County,1.7631520238434206
Suffolk County,1.8082291312166485
Worcester County,1.7512115282118241
