migrant_housing,county,
1,Allegany County,24,001
11,Anne Arundel County,24,003
7,Baltimore County,24,005
1,Calvert County,24,009
49,Caroline County,24,011
1,Carroll County,24,013
4,Cecil County,24,015
4,Charles County,24,017
17,Dorchester County,24,019
4,Frederick County,24,021
0,Garrett County,24,023
5,Harford County,24,025
2,Howard County,24,027
5,Kent County,24,029
15,Montgomery County,24,031
5,Prince George's County,24,033
2,Queen Anne's County,24,035
3,St. Mary's County,24,037
10,Somerset County,24,039
1,Talbot County,24,041
13,Washington County,24,043
6,Wicomico County,24,045
5,Worcester County,24,047
6,Baltimore city,24,510
