county,poke_ratio
Allegany County,1.6171178158514254
Anne Arundel County,1.5994784721341921
Baltimore City,1.612500753382262
Baltimore County,1.5919635445115041
Calvert County,1.6172718658784409
Caroline County,1.6650708795454547
Carroll County,1.573205632139022
Cecil County,1.6143330543076988
Charles County,1.6060781686585415
Dorchester County,1.5591850232040099
Frederick County,1.622545165350637
Garrett County,1.5870455868413718
Harford County,1.6051246221632873
Howard County,1.5945220891198464
Kent County,1.5393217780854431
Montgomery County,1.6200198486302426
Prince George's County,1.633545501848857
Queen Anne's County,1.6008164810080352
Somerset County,1.5698146847960446
St. Mary's County,1.6208655056449675
Talbot County,1.6874965046446317
Washington County,1.6861775213578882
Wicomico County,1.6365721537159301
Worcester County,1.5792564221846304
