county,poke_ratio
Androscoggin County,1.7816917099936074
Aroostook County,1.8049317575586323
Cumberland County,1.7473250956426982
Franklin County,1.7505565038167936
Hancock County,1.7930174616967753
Kennebec County,1.6560860014843675
Knox County,1.7273028059440556
Lincoln County,1.7365272152217741
Oxford County,1.739556354129102
Penobscot County,1.8048845536404565
Piscataquis County,1.763297576041179
Sagadahoc County,1.7411376288019862
Somerset County,1.7366704717220391
Waldo County,1.7526004664970312
Washington County,1.8040856324732537
York County,1.6961310261977132
