migrant_housing,county,
0,Alcona County,26,001
0,Alger County,26,003
75,Allegan County,26,005
1,Alpena County,26,007
40,Antrim County,26,009
44,Arenac County,26,011
0,Baraga County,26,013
0,Barry County,26,015
2,Bay County,26,017
14,Benzie County,26,019
262,Berrien County,26,021
6,Branch County,26,023
10,Calhoun County,26,025
24,Cass County,26,027
4,Charlevoix County,26,029
2,Cheboygan County,26,031
1,Chippewa County,26,033
5,Clare County,26,035
3,Clinton County,26,037
1,Crawford County,26,039
1,Delta County,26,041
0,Dickinson County,26,043
2,Eaton County,26,045
5,Emmet County,26,047
1,Genesee County,26,049
1,Gladwin County,26,051
2,Gogebic County,26,053
54,Grand Traverse County,26,055
18,Gratiot County,26,057
0,Hillsdale County,26,059
0,Houghton County,26,061
7,Huron County,26,063
20,Ingham County,26,065
17,Ionia County,26,067
0,Iosco County,26,069
1,Iron County,26,071
8,Isabella County,26,073
4,Jackson County,26,075
1,Kalamazoo County,26,077
1,Kalkaska County,26,079
157,Kent County,26,081
0,Keweenaw County,26,083
0,Lake County,26,085
40,Lapeer County,26,087
39,Leelanau County,26,089
8,Lenawee County,26,091
22,Livingston County,26,093
1,Luce County,26,095
1,Mackinac County,26,097
7,Macomb County,26,099
43,Manistee County,26,101
2,Marquette County,26,103
23,Mason County,26,105
1,Mecosta County,26,107
2,Menominee County,26,109
7,Midland County,26,111
3,Missaukee County,26,113
14,Monroe County,26,115
14,Montcalm County,26,117
0,Montmorency County,26,119
22,Muskegon County,26,121
47,Newaygo County,26,123
11,Oakland County,26,125
300,Oceana County,26,127
0,Ogemaw County,26,129
0,Ontonagon County,26,131
0,Osceola County,26,133
0,Oscoda County,26,135
2,Otsego County,26,137
79,Ottawa County,26,139
0,Presque Isle County,26,141
0,Roscommon County,26,143
1,Saginaw County,26,145
5,St. Clair County,26,147
9,St. Joseph County,26,149
9,Sanilac County,26,151
0,Schoolcraft County,26,153
3,Shiawassee County,26,155
6,Tuscola County,26,157
249,Van Buren County,26,159
1,Washtenaw County,26,161
6,Wayne County,26,163
2,Wexford County,26,165
