migrant_housing,county,
0,Aitkin County,27,001
2,Anoka County,27,003
1,Becker County,27,005
0,Beltrami County,27,007
0,Benton County,27,009
1,Big Stone County,27,011
2,Blue Earth County,27,013
9,Brown County,27,015
1,Carlton County,27,017
3,Carver County,27,019
0,Cass County,27,021
1,Chippewa County,27,023
10,Chisago County,27,025
4,Clay County,27,027
0,Clearwater County,27,029
0,Cook County,27,031
0,Cottonwood County,27,033
1,Crow Wing County,27,035
4,Dakota County,27,037
18,Dodge County,27,039
0,Douglas County,27,041
4,Faribault County,27,043
1,Fillmore County,27,045
6,Freeborn County,27,047
0,Goodhue County,27,049
1,Grant County,27,051
9,Hennepin County,27,053
0,Houston County,27,055
0,Hubbard County,27,057
0,Isanti County,27,059
1,Itasca County,27,061
1,Jackson County,27,063
0,Kanabec County,27,065
10,Kandiyohi County,27,067
1,Kittson County,27,069
0,Koochiching County,27,071
2,Lac qui Parle County,27,073
1,Lake County,27,075
0,Lake of the Woods County,27,077
0,Le Sueur County,27,079
0,Lincoln County,27,081
3,Lyon County,27,083
3,McLeod County,27,085
1,Mahnomen County,27,087
18,Marshall County,27,089
3,Martin County,27,091
1,Meeker County,27,093
0,Mille Lacs County,27,095
0,Morrison County,27,097
1,Mower County,27,099
0,Murray County,27,101
0,Nicollet County,27,103
0,Nobles County,27,105
13,Norman County,27,107
41,Olmsted County,27,109
8,Otter Tail County,27,111
1,Pennington County,27,113
0,Pine County,27,115
0,Pipestone County,27,117
7,Polk County,27,119
0,Pope County,27,121
0,Ramsey County,27,123
1,Red Lake County,27,125
3,Redwood County,27,127
31,Renville County,27,129
0,Rice County,27,131
0,Rock County,27,133
0,Roseau County,27,135
0,St. Louis County,27,137
0,Scott County,27,139
9,Sherburne County,27,141
28,Sibley County,27,143
1,Stearns County,27,145
0,Steele County,27,147
4,Stevens County,27,149
1,Swift County,27,151
4,Todd County,27,153
3,Traverse County,27,155
17,Wabasha County,27,157
1,Wadena County,27,159
3,Waseca County,27,161
13,Washington County,27,163
0,Watonwan County,27,165
14,Wilkin County,27,167
3,Winona County,27,169
1,Wright County,27,171
3,Yellow Medicine County,27,173
