migrant_housing,county,
1,Adair County,29,001
0,Andrew County,29,003
0,Atchison County,29,005
2,Audrain County,29,007
0,Barry County,29,009
2,Barton County,29,011
1,Bates County,29,013
2,Benton County,29,015
2,Bollinger County,29,017
2,Boone County,29,019
0,Buchanan County,29,021
5,Butler County,29,023
0,Caldwell County,29,025
5,Callaway County,29,027
5,Camden County,29,029
26,Cape Girardeau County,29,031
1,Carroll County,29,033
0,Carter County,29,035
3,Cass County,29,037
1,Cedar County,29,039
0,Chariton County,29,041
0,Christian County,29,043
0,Clark County,29,045
1,Clay County,29,047
0,Clinton County,29,049
0,Cole County,29,051
0,Cooper County,29,053
0,Crawford County,29,055
0,Dade County,29,057
0,Dallas County,29,059
0,Daviess County,29,061
0,DeKalb County,29,063
0,Dent County,29,065
1,Douglas County,29,067
12,Dunklin County,29,069
0,Franklin County,29,071
0,Gasconade County,29,073
0,Gentry County,29,075
22,Greene County,29,077
0,Grundy County,29,079
0,Harrison County,29,081
0,Henry County,29,083
0,Hickory County,29,085
0,Holt County,29,087
0,Howard County,29,089
0,Howell County,29,091
0,Iron County,29,093
14,Jackson County,29,095
0,Jasper County,29,097
4,Jefferson County,29,099
1,Johnson County,29,101
0,Knox County,29,103
0,Laclede County,29,105
25,Lafayette County,29,107
1,Lawrence County,29,109
0,Lewis County,29,111
1,Lincoln County,29,113
0,Linn County,29,115
0,Livingston County,29,117
0,McDonald County,29,119
0,Macon County,29,121
0,Madison County,29,123
1,Maries County,29,125
0,Marion County,29,127
0,Mercer County,29,129
3,Miller County,29,131
6,Mississippi County,29,133
1,Moniteau County,29,135
0,Monroe County,29,137
0,Montgomery County,29,139
3,Morgan County,29,141
3,New Madrid County,29,143
2,Newton County,29,145
0,Nodaway County,29,147
0,Oregon County,29,149
1,Osage County,29,151
0,Ozark County,29,153
1,Pemiscot County,29,155
1,Perry County,29,157
0,Pettis County,29,159
0,Phelps County,29,161
0,Pike County,29,163
3,Platte County,29,165
0,Polk County,29,167
0,Pulaski County,29,169
0,Putnam County,29,171
0,Ralls County,29,173
0,Randolph County,29,175
0,Ray County,29,177
0,Reynolds County,29,179
0,Ripley County,29,181
2,St. Charles County,29,183
0,St. Clair County,29,185
2,Ste. Genevieve County,29,186
0,St. Francois County,29,187
4,St. Louis County,29,189
1,Saline County,29,195
0,Schuyler County,29,197
0,Scotland County,29,199
1,Scott County,29,201
0,Shannon County,29,203
0,Shelby County,29,205
8,Stoddard County,29,207
0,Stone County,29,209
0,Sullivan County,29,211
0,Taney County,29,213
0,Texas County,29,215
7,Vernon County,29,217
1,Warren County,29,219
0,Washington County,29,221
0,Wayne County,29,223
0,Webster County,29,225
0,Worth County,29,227
1,Wright County,29,229
1,St. Louis city,29,510
