migrant_housing,county,
62,Beaverhead County,30,001
8,Big Horn County,30,003
2,Blaine County,30,005
2,Broadwater County,30,007
2,Carbon County,30,009
2,Carter County,30,011
3,Cascade County,30,013
3,Chouteau County,30,015
2,Custer County,30,017
1,Daniels County,30,019
0,Dawson County,30,021
4,Deer Lodge County,30,023
7,Fallon County,30,025
2,Fergus County,30,027
17,Flathead County,30,029
23,Gallatin County,30,031
3,Garfield County,30,033
3,Glacier County,30,035
2,Golden Valley County,30,037
0,Granite County,30,039
3,Hill County,30,041
1,Jefferson County,30,043
0,Judith Basin County,30,045
31,Lake County,30,047
2,Lewis and Clark County,30,049
0,Liberty County,30,051
5,Lincoln County,30,053
0,McCone County,30,055
16,Madison County,30,057
1,Meagher County,30,059
0,Mineral County,30,061
3,Missoula County,30,063
0,Musselshell County,30,065
6,Park County,30,067
0,Petroleum County,30,069
2,Phillips County,30,071
0,Pondera County,30,073
5,Powder River County,30,075
4,Powell County,30,077
0,Prairie County,30,079
13,Ravalli County,30,081
10,Richland County,30,083
2,Roosevelt County,30,085
3,Rosebud County,30,087
9,Sanders County,30,089
0,Sheridan County,30,091
0,Silver Bow County,30,093
4,Stillwater County,30,095
1,Sweet Grass County,30,097
1,Teton County,30,099
1,Toole County,30,101
1,Treasure County,30,103
2,Valley County,30,105
1,Wheatland County,30,107
0,Wibaux County,30,109
8,Yellowstone County,30,111
