county,poke_ratio
Alamance County,1.7950339051395938
Alexander County,1.6258624301075268
Alleghany County,1.6163709548104956
Anson County,1.6186470763322132
Ashe County,1.6170828494248868
Avery County,1.6478681818181817
Beaufort County,1.6253788677589234
Bertie County,1.6511173646540647
Bladen County,1.5974517735085945
Brunswick County,1.6353857512033592
Buncombe County,1.6462408960768447
Burke County,1.6401554269886067
Cabarrus County,1.6930657595236485
Caldwell County,1.6300647179909429
Carteret County,1.6259582904021086
Caswell County,1.6713541381928627
Catawba County,1.615521334436059
Chatham County,1.6426531822509995
Cherokee County,1.6373014994968131
Chowan County,1.6467606982018468
Clay County,1.6357247368421053
Cleveland County,1.639715047934191
Columbus County,1.6305283169281748
Craven County,1.634563495034506
Cumberland County,1.6451588092811236
Currituck County,1.6230354125662376
Dare County,1.619482334762679
Davidson County,1.5963708939366186
Davie County,1.490826752509821
Duplin County,1.6388993919112176
Durham County,1.6845489798144302
Edgecombe County,1.672486319932187
Forsyth County,1.630336845383475
Franklin County,1.6772147859769932
Gaston County,1.6467463015409316
Graham County,1.5861927731092436
Granville County,1.6918257869165367
Greene County,1.662805375059723
Guilford County,1.659850606951309
Halifax County,1.63395394677619
Harnett County,1.5896237302369862
Haywood County,1.6156254276642192
Henderson County,1.632519985179128
Hertford County,1.6642451472446302
Hoke County,1.6010426723033564
Hyde County,1.63113756302521
Iredell County,1.5984549183728085
Jackson County,1.6567379740380157
Johnston County,1.6216566033633582
Jones County,1.6368248402404304
Lee County,1.6391977908433732
Lenoir County,1.6472163657707752
Lincoln County,1.5870919285584328
Macon County,1.6233058699411969
Madison County,1.6118472331639133
Martin County,1.6501765073848826
McDowell County,1.646210014979029
Mecklenburg County,1.6711478476113382
Mitchell County,1.6538994647887322
Montgomery County,1.6100537278502176
Moore County,1.6214871408080322
Nash County,1.8200454480990824
New Hanover County,1.652026518443866
Northampton County,1.6204412655685012
Onslow County,1.6142142243709088
Orange County,1.6991682973511446
Pamlico County,1.5836990690909092
Pasquotank County,1.6590058537852226
Pender County,1.632437537077318
Perquimans County,1.6222526864834546
Person County,1.579036683168317
Pitt County,1.677175727346546
Polk County,1.6009829710540686
Randolph County,1.613826048846269
Richmond County,1.6515222943822814
Robeson County,1.618745887456224
Rockingham County,1.6553313204640203
Rowan County,1.6417620787362854
Rutherford County,1.662194682080925
Sampson County,1.6043161845228675
Scotland County,1.7095527175620482
Stanly County,1.6402902141203708
Stokes County,1.6067004039238315
Surry County,1.5778309342506853
Swain County,1.8509674025974026
Transylvania County,1.6099518656716418
Tyrrell County,1.622134187192118
Union County,1.6362312090660411
Vance County,1.6969219493794108
Wake County,1.6230103630658637
Warren County,1.6632499221376746
Washington County,1.6304286347390993
Watauga County,1.6532326010966416
Wayne County,1.6476224436574376
Wilkes County,1.4937525955461932
Wilson County,1.6380365645447847
Yadkin County,1.5591861878932523
Yancey County,1.6189045578530579
