county,poke_ratio
Adams County,1.775006206896552
Barnes County,1.154207077444884
Bowman County,1.3993189644012944
Burleigh County,1.8041703446401391
Cass County,1.2160049489263014
Cavalier County,1.12778
Dickey County,1.3886931658446362
Emmons County,1.8291260330578514
Foster County,1.1941543781094526
Grand Forks County,1.4023088218286952
Griggs County,1.5040910638297873
McKenzie County,1.8025868393782383
McLean County,1.7568418691588785
Mercer County,1.7698567857142855
Morton County,1.8938555488141207
Mountrail County,1.752830504587156
Nelson County,1.12778
Pembina County,1.1535516293929713
Pierce County,1.7424041975308644
Ramsey County,1.2152352
Ransom County,1.5272987620192309
Richland County,1.1718393645126741
Rolette County,1.4457680246913582
Sioux County,1.6508817073170732
Stark County,1.800811831924161
Stutsman County,1.3246006073752712
Towner County,1.1570065217391303
Traill County,1.1509170967741937
Walsh County,1.2301600555555556
Ward County,1.7242573741845295
Wells County,1.820387277882798
Williams County,1.5082728290598293
