county,poke_ratio
Adams County,1.6696758440046566
Antelope County,1.7163877999999997
Boone County,1.6194627731092437
Boyd County,1.80505
Brown County,1.7629234615384612
Buffalo County,1.5674656668163447
Burt County,1.6131921621621623
Butler County,1.6573200886162232
Cass County,1.4464577198697073
Cedar County,1.70577
Chase County,1.7195485135135136
Cherry County,1.588097197309417
Cheyenne County,1.6464880788177338
Clay County,1.6579599999999999
Colfax County,1.5798169999999998
Cuming County,1.4702472222222223
Custer County,1.6370120036540803
Dakota County,1.695802820936639
Dawes County,1.76994
Dawson County,1.7012699896437447
Dixon County,2.18614
Dodge County,1.5465982454251883
Douglas County,1.4674418121291726
Dundy County,1.7393321126760564
Fillmore County,1.6579599999999999
Franklin County,1.3702686666666668
Furnas County,1.6642247826086956
Gage County,1.6503930882352944
Garden County,1.7363566666666665
Garfield County,1.7738993137254901
Hall County,1.5940197979460633
Hamilton County,1.5922049489795917
Harlan County,1.5712212
Holt County,1.6744081834862385
Hooker County,1.6019261373390563
Howard County,1.578043493150685
Jefferson County,1.653928133159269
Johnson County,1.6321962159533074
Kearney County,1.49958
Keith County,1.6953319060967063
Knox County,1.674394298245614
Lancaster County,1.6585905783618369
Lincoln County,1.7608870720257237
Madison County,1.5813094883896546
Merrick County,1.508556199563795
Morrill County,1.5402294072657743
Nemaha County,1.6037023883928576
Nuckolls County,1.6579599999999999
Otoe County,1.6215803261927948
Pawnee County,1.632786815642458
Perkins County,1.799901377952756
Phelps County,1.6600991690140847
Pierce County,1.6579599999999999
Platte County,1.4134528039383563
Polk County,1.5834958245614037
Red Willow County,1.7518147660311956
Richardson County,1.5454708645276294
Rock County,1.7315049999999998
Saline County,1.6364756851311955
Sarpy County,1.4991673891497133
Saunders County,1.5921118271604935
Scotts Bluff County,1.7554958538461538
Seward County,1.655998625429553
Sheridan County,1.6761573076923075
Thayer County,1.6579599999999999
Thurston County,2.0547633376792698
Valley County,1.6250272101449277
Washington County,1.4739884065040652
Wayne County,2.1710613129318856
Webster County,1.5828366233766233
York County,1.664568979248458
