migrant_housing,county,
21,Atlantic County,34,001
4,Bergen County,34,003
9,Burlington County,34,005
4,Camden County,34,007
17,Cape May County,34,009
12,Cumberland County,34,011
1,Essex County,34,013
4,Gloucester County,34,015
27,Hudson County,34,017
3,Hunterdon County,34,019
4,Mercer County,34,021
4,Middlesex County,34,023
13,Monmouth County,34,025
8,Morris County,34,027
4,Ocean County,34,029
1,Passaic County,34,031
3,Salem County,34,033
4,Somerset County,34,035
3,Sussex County,34,037
5,Union County,34,039
5,Warren County,34,041
