county,poke_ratio
Atlantic County,1.6155151789330384
Bergen County,1.6312147029422512
Burlington County,1.6410456801836002
Camden County,1.6427457128123164
Cape May County,1.6161277305081256
Cumberland County,1.6306705209696035
Essex County,1.6321102869813833
Gloucester County,1.6100589217846895
Hudson County,1.588157506361593
Hunterdon County,1.5854915897223802
Mercer County,1.6229005712314661
Middlesex County,1.6235012383039704
Monmouth County,1.6119305704941285
Morris County,1.609653623554024
Ocean County,1.6016948580921475
Passaic County,1.60520313670869
Salem County,1.617080296790684
Somerset County,1.6170027028037384
Sussex County,1.577592431913819
Union County,1.6209262439969998
Warren County,1.5999391763141424
