migrant_housing,county,
4,Bernalillo County,35,001
5,Catron County,35,003
5,Chaves County,35,005
4,Cibola County,35,006
5,Colfax County,35,007
3,Curry County,35,009
3,De Baca County,35,011
16,Doña Ana County,35,013
4,Eddy County,35,015
1,Grant County,35,017
7,Guadalupe County,35,019
0,Harding County,35,021
2,Hidalgo County,35,023
13,Lea County,35,025
25,Lincoln County,35,027
1,Los Alamos County,35,028
12,Luna County,35,029
25,McKinley County,35,031
2,Mora County,35,033
1,Otero County,35,035
3,Quay County,35,037
8,Rio Arriba County,35,039
11,Roosevelt County,35,041
4,Sandoval County,35,043
20,San Juan County,35,045
3,San Miguel County,35,047
2,Santa Fe County,35,049
1,Sierra County,35,051
5,Socorro County,35,053
3,Taos County,35,055
11,Torrance County,35,057
2,Union County,35,059
18,Valencia County,35,061
